country,rank,overall_score,onchain_value_received_rank,onchain_retail_value_received_rank,number_of_onchain_deposits_rank,p2p_exchange_trade_volume_rank,rank_note
Ukraine,1,1.0,4,4,7,11,
Russia,2,0.931,7,8,5,9,
Venezuela,3,0.799,19,14,15,2,
China,4,0.672,1,1,95,53,
Kenya,5,0.645,37,11,57,1,
United States of America,6,0.627,5,6,39,16,
South Africa,7,0.526,12,9,41,10,
Nigeria,8,0.459,14,7,112,3,
Colombia,9,0.444,25,18,61,4,
Vietnam,10,0.443,2,2,44,81,
India,11,0.395,3,3,129,32,
Thailand,12,0.365,17,15,21,33,
Brazil,13,0.338,6,5,66,68,
United Kingdom,14,0.333,15,19,42,17,
Pakistan,15,0.272,13,16,96,26,
Philippines,16,0.262,9,13,91,44,
South Korea,17,0.246,8,10,24,97,
Peru,18,0.242,43,30,76,7,
Belarus,19,0.241,42,44,25,12,
Australia,20,0.21,36,34,34,27,
France,21,0.208,18,25,49,55,
Latvia,22,0.204,56,61,1,22,
Hong Kong,23,0.202,39,62,10,23,
Canada,24,0.196,28,31,45,37,
Malaysia,25,0.192,38,27,47,36,
Netherlands,26,0.183,32,38,19,59,
Ghana,27,0.18,44,23,87,19,
Argentina,28,0.174,27,29,73,42,
Turkey,29,0.174,10,17,50,93,
Georgia,30,0.17,50,58,18,21,
Ecuador,31,0.157,67,53,92,5,
Indonesia,32,0.151,11,12,75,103,
Germany,33,0.147,21,24,63,79,
Chile,34,0.147,45,47,64,29,
Lithuania,35,0.144,64,78,9,25,
Slovakia,36,0.143,47,56,14,51,
Spain,37,0.138,29,33,56,66,
Poland,38,0.137,23,26,46,86,
Mexico,39,0.135,26,22,101,65,
Slovenia,40,0.133,53,79,4,46,
Estonia,41,0.13,94,92,2,20,
Morocco,42,0.127,35,35,108,39,
Portugal,43,0.126,54,59,35,34,
Belgium,44,0.125,51,55,30,47,
Bangladesh,45,0.118,24,21,104,80,
Sweden,46,0.117,70,67,40,28,
Czech Republic,47,0.114,30,40,12,96,
Romania,48,0.112,48,49,59,56,
Italy,49,0.109,31,36,71,78,
Singapore,50,0.102,73,94,8,54,
Panama,51,0.094,117,118,36,8,
Iran,52,0.092,20,28,102,92,
El Salvador,53,0.09,107,105,86,6,
Austria,54,0.087,58,72,29,67,
Cameroon,55,0.085,76,39,106,45,
Finland,56,0.085,78,88,26,57,
Greece,57,0.084,65,68,48,62,
Dominican Republic,58,0.083,88,73,82,30,
Bolivia,59,0.082,69,65,89,38,
United Republic of Tanzania,60,0.081,86,42,134,13,
Switzerland,61,0.08,55,69,20,85,
Uganda,62,0.079,57,48,139,14,
New Zealand,63,0.075,103,104,60,18,
Egypt,64,0.074,40,37,116,83,
Bulgaria,65,0.073,33,45,11,118,
Republic of Serbia,66,0.073,52,57,38,90,
Kazakhstan,67,0.072,61,74,84,60,
Norway,68,0.072,90,99,27,63,
Ireland,69,0.071,101,108,23,48,
Cyprus,70,0.067,108,122,16,40,
Japan,71,0.065,16,32,122,106,
Mozambique,72,0.061,83,60,128,35,
Togo,73,0.06,105,63,90,52,
Montenegro,74,0.06,131,127,17,15,
Mauritius,75,0.059,106,115,6,71,
United Arab Emirates,76,0.056,95,101,65,61,
Croatia,77,0.054,72,80,28,94,
Sri Lanka,78,0.053,75,77,97,70,
Costa Rica,79,0.052,113,100,74,49,
Zambia,80,0.051,115,89,113,24,
Rwanda,81,0.049,93,86,132,31,
Nepal,82,0.049,41,43,115,108,
Malta,83,0.048,129,131,3,50,
Uruguay,84,0.048,104,113,70,64,
Denmark,85,0.042,96,98,37,91,
Bosnia and Herzegovina,86,0.042,99,95,55,87,
Hungary,87,0.041,62,75,51,113,
Moldova,88,0.04,68,70,22,120,
Cambodia,89,0.04,49,51,111,111,
Benin,90,0.039,81,66,109,88,
Guatemala,91,0.039,74,81,131,72,
Jamaica,92,0.038,114,96,68,84,
Saudi Arabia,93,0.036,89,97,118,73,
Ivory Coast,94,0.036,79,52,123,95,
Jordan,95,0.033,87,90,114,89,
Israel,96,0.033,80,85,52,116,
Puerto Rico,97,0.032,126,130,78,43,
Senegal,98,0.029,100,87,135,77,
Luxembourg,99,0.025,139,139,13,58,
Trinidad and Tobago,100,0.025,132,128,58,74,
Mali,101,0.023,112,114,137,69,
Macedonia,102,0.022,91,103,43,124,
Kuwait,103,0.021,122,129,94,76,
Namibia,104,0.021,128,111,79,99,
Armenia,105,0.021,110,110,54,117,
Democratic Republic of the Congo,106,0.02,46,50,140,123,
Nicaragua,107,0.02,111,107,103,112,
Madagascar,108,0.018,84,76,126,122,
Angola,109,0.016,119,102,124,109,
Botswana,110,0.016,135,134,100,75,
Barbados,111,0.015,133,136,33,102,
Paraguay,112,0.015,121,124,121,98,
Tunisia,113,0.014,59,54,80,139,
Lebanon,114,0.013,118,119,120,115,
Uzbekistan,115,0.013,85,83,136,127,
Honduras,116,0.013,125,123,130,100,
Syria,117,0.012,77,71,125,132,
Albania,118,0.01,120,121,88,128,
Qatar,119,0.01,137,137,93,101,
Iceland,120,0.01,140,141,32,110,
Bahrain,121,0.009,138,138,77,107,
Ethiopia,122,0.009,63,64,150,131,
Kyrgyzstan,123,0.008,71,84,85,141,
Oman,124,0.008,136,135,127,104,
Azerbaijan,125,0.008,102,116,119,136,
Burkina Faso,126,0.006,124,126,149,114,
Maldives,127,0.006,147,145,110,82,
Haiti,128,0.006,130,125,148,121,
Yemen,129,0.005,109,106,142,137,
Suriname,130,0.005,141,140,72,125,
Iraq,131,0.005,92,117,144,138,
Malawi,132,0.004,142,142,153,41,
The Bahamas,133,0.003,143,143,69,133,
Sudan,134,0.003,123,120,145,140,
Brunei,135,0.003,146,146,81,126,
Myanmar,136,0.003,66,93,143,142,
Gabon,137,0.003,144,144,138,119,
Belize,138,0.002,145,147,117,130,
Macao,139,0.002,148,150,83,129,
Papua New Guinea,140,0.001,149,148,151,105,
Guyana,141,0.0,153,152,152,134,
Bermuda,142,0.0,152,154,99,135,
Afghanistan,,0,60,46,105,,Among lowest
Algeria,,0,34,41,98,,Among lowest
Cape Verde,,0,151,149,147,,Among lowest
Chad,,0,154,153,154,,Among lowest
Fiji,,0,150,151,146,,Among lowest
Laos,,0,97,82,67,,Among lowest
Libya,,0,127,132,107,,Among lowest
Mongolia,,0,98,109,62,,Among lowest
Tajikistan,,0,134,133,141,,Among lowest
Turkmenistan,,0,82,112,31,,Among lowest
West Bank and Gaza,,0,22,20,53,,Among lowest
Zimbabwe,,0,116,91,133,,Among lowest
