country,rank,overall_score,onchain_value_received_rank,onchain_retail_value_received_rank,p2p_exchange_trade_volume_rank,rank_note
Vietnam,1,1.0,4,2,3,
India,2,0.37,2,3,72,
Pakistan,3,0.36,11,12,8,
Ukraine,4,0.29,6,5,40,
Kenya,5,0.28,41,28,1,
Nigeria,6,0.26,15,10,18,
Venezuela,7,0.25,29,22,6,
United States,8,0.22,3,4,109,
Togo,9,0.19,47,42,2,
Argentina,10,0.19,14,17,33,
Colombia,11,0.19,27,23,12,
Thailand,12,0.17,7,11,76,
China,13,0.16,1,1,155,
Brazil,14,0.16,5,7,113,
Philippines,15,0.16,10,9,80,
South Africa,16,0.14,18,16,62,
Ghana,17,0.14,32,37,10,
Russian Federation,18,0.14,8,6,122,
Tanzania,19,0.13,60,45,4,
Afghanistan,20,0.13,53,38,7,
United Kingdom,21,0.13,12,15,94,
Peru,22,0.11,39,39,23,
Malaysia,23,0.1,38,33,28,
Morocco,24,0.1,34,35,35,
Indonesia,25,0.1,16,14,111,
Turkey,26,0.1,9,8,147,
Cameroon,27,0.09,86,60,5,
Bulgaria,28,0.09,46,41,30,
Bangladesh,29,0.09,40,30,54,
Nepal,30,0.09,42,46,26,
Canada,31,0.09,19,20,103,
"Congo, The Democratic Republic of the",32,0.08,69,31,31,
Belarus,33,0.08,36,40,52,
France,34,0.08,17,18,123,
Ecuador,35,0.07,59,59,21,
Benin,36,0.07,76,75,11,
Mozambique,37,0.07,35,62,45,
Australia,38,0.07,30,32,98,
Hong Kong,39,0.07,37,48,61,
"Korea, Republic of",40,0.07,13,13,153,
Poland,41,0.07,22,25,126,
Cambodia,42,0.07,62,53,29,
Zambia,43,0.06,66,77,17,
Mexico,44,0.06,23,21,133,
Algeria,45,0.06,48,36,77,
Netherlands,46,0.06,26,29,115,
Chile,47,0.06,54,55,43,
Spain,48,0.06,25,27,125,
Germany,49,0.06,20,24,143,
"Moldova, Republic of",50,0.06,57,61,48,
Dominican Republic,51,0.05,81,76,25,
"Bolivia, Plurinational State of",52,0.05,63,83,27,
Sri Lanka,53,0.05,74,80,32,
Côte d'Ivoire,54,0.05,50,50,73,
"Iran, Islamic Republic of",55,0.05,33,19,141,
Georgia,56,0.05,79,66,38,
Portugal,57,0.05,45,47,89,
Honduras,58,0.05,24,96,78,
Egypt,59,0.05,49,43,97,
Czechia,60,0.05,44,44,106,
Zimbabwe,61,0.04,113,87,9,
Serbia,62,0.04,65,51,70,
Tunisia,63,0.04,90,68,44,
Romania,64,0.04,58,49,83,
Uganda,65,0.04,99,81,34,
Madagascar,66,0.04,97,64,50,
Slovakia,67,0.04,51,54,86,
Lebanon,68,0.04,21,109,95,
Rwanda,69,0.04,106,110,13,
Kyrgyzstan,70,0.04,55,57,92,
Belgium,71,0.04,56,52,100,
Switzerland,72,0.04,43,56,112,
Sweden,73,0.04,78,73,66,
Latvia,74,0.04,92,82,56,
Costa Rica,75,0.04,85,106,36,
Mauritius,76,0.04,103,115,16,
Estonia,77,0.03,100,92,46,
Lao People's Democratic Republic,78,0.03,93,91,53,
Italy,79,0.03,31,34,151,
Singapore,80,0.03,73,74,79,
Jamaica,81,0.03,110,111,15,
Japan,82,0.03,28,26,158,
Guatemala,83,0.03,94,85,64,
Panama,84,0.03,102,102,47,
Croatia,85,0.03,77,67,96,
Slovenia,86,0.03,70,71,99,
Finland,87,0.03,68,72,101,
Norway,88,0.03,71,79,93,
El Salvador,89,0.03,105,101,49,
Mongolia,90,0.03,95,90,68,
Greece,91,0.03,61,63,121,
Lithuania,92,0.03,101,89,67,
Senegal,93,0.03,111,100,39,
Albania,94,0.03,83,103,71,
Uzbekistan,95,0.03,52,58,146,
New Zealand,96,0.02,88,95,85,
Jordan,97,0.02,91,84,91,
Austria,98,0.02,67,65,130,
Israel,99,0.02,64,86,114,
United Arab Emirates,100,0.02,82,88,104,
Azerbaijan,101,0.02,96,69,110,
Hungary,102,0.02,72,78,128,
Kazakhstan,103,0.02,75,70,138,
Namibia,104,0.02,124,127,14,
Uruguay,105,0.02,117,116,42,
Syrian Arab Republic,106,0.02,108,93,87,
Armenia,107,0.02,107,105,81,
Libya,108,0.02,112,118,59,
Denmark,109,0.02,89,99,119,
Nicaragua,110,0.02,120,114,55,
Cyprus,111,0.02,114,119,63,
Ethiopia,112,0.02,115,104,84,
Saudi Arabia,113,0.02,87,94,135,
Bosnia and Herzegovina,114,0.02,116,113,69,
Mali,115,0.02,129,123,37,
Myanmar,116,0.02,104,97,129,
Angola,117,0.02,130,122,41,
Ireland,118,0.01,98,108,132,
Puerto Rico,119,0.01,80,117,134,
Haiti,120,0.01,122,121,74,
Iraq,121,0.01,84,98,150,
Paraguay,122,0.01,119,124,75,
North Macedonia,123,0.01,118,112,102,
Barbados,124,0.01,135,134,24,
