country,rank,centralized_service_value_received_rank,retail_centralized_service_value_received_rank,p2p_exchange_trade_volume_rank,defi_value_received_rank,retail_defi_value_received_rank,rank_note
India,1,1,1,5,1,1,
Nigeria,2,3,2,1,4,4,
Vietnam,3,4,4,2,3,3,
United States,4,2,8,12,2,2,
Ukraine,5,5,3,11,10,10,
Philippines,6,6,6,19,7,7,
Indonesia,7,13,13,14,5,5,
Pakistan,8,7,7,9,20,20,
Brazil,9,9,11,15,11,11,
Thailand,10,8,15,44,6,6,
China,11,10,5,13,23,23,
Turkey,12,11,9,35,12,12,
Russia,13,12,10,36,9,9,
United Kingdom,14,15,20,38,8,8,
Argentina,15,14,12,29,19,19,
Mexico,16,17,18,30,16,16,
Bangladesh,17,18,19,33,22,22,
Japan,18,22,21,49,18,18,
Canada,19,25,23,62,14,14,
Morocco,20,27,25,21,26,26,
Kenya,21,20,34,3,55,55,
Spain,22,28,32,63,13,13,
France,23,26,28,55,21,21,
Tanzania,24,57,62,6,27,27,
Uzbekistan,25,44,39,54,15,15,
Germany,26,23,26,60,25,25,
South Korea,27,16,16,75,29,29,
Iran,28,33,14,57,31,31,
Ghana,29,31,30,4,74,74,
Cambodia,30,45,43,56,17,17,
South Africa,31,21,22,25,45,45,
Colombia,32,24,24,16,46,46,
Taiwan,33,34,34,66,26,26,
Poland,34,30,27,71,24,24,
Egypt,35,29,29,24,50,50,
Ethiopia,36,39,38,8,71,71,
Italy,37,34,37,72,28,28,
Malaysia,38,42,51,40,37,37,
Netherlands,39,38,46,69,32,32,
Venezuela,40,19,17,32,90,90,
Australia,41,37,42,70,33,33,
Cameroon,42,70,71,7,51,51,
Ecuador,43,47,45,22,57,57,
Belarus,44,40,36,61,41,41,
Uganda,45,105,86,18,34,34,
Kazakhstan,46,41,35,81,40,40,
Algeria,47,36,31,43,84,84,
Hong Kong,48,56,69,87,30,30,
Peru,49,35,33,65,70,70,
Sri Lanka,50,48,41,66,54,54,
Laos,51,49,40,106,35,35,
Georgia,52,51,50,91,39,39,
Myanmar,53,50,52,17,91,91,
Yemen,54,32,49,26,99,99,
Tunisia,55,43,44,23,92,92,
Nepal,56,90,87,20,52,52,
Saudi Arabia,57,61,53,73,49,49,
Bulgaria,58,53,57,100,38,38,
Portugal,59,55,66,82,43,43,
Moldova,60,52,48,77,63,63,
Romania,61,58,59,80,48,48,
Czech Republic,62,59,60,93,44,44,
Switzerland,63,71,85,90,36,36,
Iraq,64,60,64,27,98,98,
Cote d'Ivoire,65,85,73,46,78,78,
Jordan,66,54,47,68,87,87,
Serbia,67,65,67,89,53,53,
Chile,68,66,65,76,69,69,
West Bank and Gaza,69,46,84,28,107,107,
Sweden,70,68,68,79,67,67,
Dominican Republic,71,63,58,45,96,96,
Kyrgyzstan,72,64,54,122,42,42,
Hungary,73,79,77,96,47,47,
Azerbaijan,74,67,56,99,72,72,
Israel,75,76,79,94,56,56,
Greece,76,69,72,104,61,61,
Singapore,77,82,101,84,59,59,
