country,rank,centralized_service_value_received_rank,retail_centralized_service_value_received_rank,defi_value_received_rank,retail_defi_value_received_rank,rank_note
India,1,1,1,3,2,
Nigeria,2,5,2,2,3,
Indonesia,3,6,6,1,1,
United States,4,2,12,4,4,
Vietnam,5,3,3,6,5,
Ukraine,6,7,5,5,6,
Russia,7,11,7,7,7,
Philippines,8,9,8,14,9,
Pakistan,9,4,4,18,13,
Brazil,10,8,10,10,14,
Türkiye,11,14,11,15,11,
United Kingdom,12,12,21,9,8,
Venezuela,13,17,16,11,12,
Mexico,14,18,17,13,10,
Argentina,15,13,13,17,20,
Thailand,16,16,15,19,16,
Cambodia,17,10,9,35,23,
Canada,18,22,26,16,15,
South Korea,19,15,14,33,33,
China,20,20,18,24,22,
Germany,21,21,30,23,21,
France,22,26,33,21,19,
Japan,23,24,20,29,25,
Poland,24,28,25,25,24,
Spain,25,29,36,20,18,
Ethiopia,26,30,24,26,32,
Morocco,27,25,19,41,36,
Kenya,28,31,27,32,29,
Hong Kong,29,39,51,22,17,
South Africa,30,19,28,40,35,
Afghanistan,31,40,56,8,46,
Netherlands,32,44,50,27,28,
Uzbekistan,33,46,40,30,26,
Uganda,34,64,57,12,31,
Bangladesh,35,27,23,50,41,
Colombia,36,23,22,45,54,
Italy,37,38,37,37,37,
Belarus,38,43,34,39,40,
Australia,39,41,48,36,34,
Taiwan,40,42,39,38,42,
Saudi Arabia,41,45,53,31,30,
Peru,42,36,31,48,43,
Algeria,43,34,29,46,53,
Egypt,44,32,32,52,60,
Yemen,45,57,43,43,39,
Ghana,46,33,35,67,57,
Malaysia,47,51,47,57,45,
Dem. Rep. of Congo,48,90,87,28,27,
Serbia,49,58,59,49,44,
Portugal,50,50,60,51,52,
Czechia,51,52,65,55,59,
Chile,52,55,55,60,58,
Bulgaria,53,63,74,54,48,
Georgia,54,74,64,53,55,
Switzerland,55,67,81,47,47,
UAE,56,71,75,58,49,
Kazakhstan,57,47,41,79,76,
Zambia,58,35,54,80,78,
Moldova,59,37,38,94,88,
Hungary,60,65,73,64,66,
Greece,61,69,76,65,65,
Tanzania,62,81,66,69,62,
Somalia,63,113,93,42,38,
Senegal,64,72,62,73,74,
Romania,65,62,67,76,73,
West Bank and Gaza,66,80,63,84,50,
Ecuador,67,49,45,75,109,
Belgium,68,77,83,63,69,
Iraq,69,56,46,91,85,
Israel,70,89,89,61,63,
Nepal,71,104,79,56,51,
Sri Lanka,72,53,44,102,90,
Sweden,73,76,90,68,70,
Austria,74,84,84,71,67,
Singapore,75,82,104,62,61,
Kyrgyzstan,76,59,58,74,105,
Armenia,77,79,70,81,81,
Myanmar,78,78,78,85,71,
Latvia,79,103,106,44,75,
Tunisia,80,60,49,105,101,
Bosnia and Herzegovina,81,105,98,66,64,
Lithuania,82,92,100,70,72,
Finland,83,91,102,59,80,
Jordan,84,54,42,110,107,
Togo,85,116,85,77,56,
Laos,86,70,72,88,108,
Slovakia,87,66,94,89,93,
Paraguay,88,93,88,34,121,
Estonia,89,96,82,78,91,
Costa Rica,90,94,91,83,82,
Croatia,91,85,96,90,84,
Azerbaijan,92,75,69,107,106,
Dominican Republic,93,68,71,113,102,
Benin,94,119,115,72,68,
New Zealand,95,100,99,95,92,
Madagascar,96,115,101,82,83,
Slovenia,97,86,97,104,104,
Macedonia,98,108,108,98,77,
Norway,99,101,103,99,94,
Libya,100,111,105,92,86,
Bolivia,101,48,52,124,115,
Ireland,102,102,118,86,98,
Denmark,103,106,114,87,95,
Jamaica,104,109,109,97,89,
Zimbabwe,105,61,80,118,116,
El Salvador,106,73,61,121,117,
Cyprus,107,117,112,101,99,
Côte d'Ivoire,108,98,92,114,110,
Albania,109,110,117,111,100,
Burkina Faso,110,131,128,96,87,
Andorra,111,125,133,103,79,
Panama,112,107,111,119,120,
Puerto Rico,113,122,135,100,96,
Nicaragua,114,121,119,116,112,
Honduras,115,87,107,131,123,
Mozambique,116,132,126,115,97,
Tajikistan,117,133,127,93,113,
Rwanda,118,120,120,112,134,
Cameroon,119,95,86,139,125,
Guatemala,120,99,95,134,132,
Uruguay,121,112,113,129,131,
Luxembourg,122,129,139,108,114,
Kuwait,123,130,125,122,119,
Mongolia,124,123,121,126,127,
Liberia,125,118,116,137,124,
Maldives,126,127,124,120,126,
Montenegro,127,136,134,117,118,
Bahamas,128,146,149,106,103,
Haiti,129,83,68,147,141,
Iran,130,148,144,109,111,
Qatar,131,124,132,132,135,
Namibia,132,138,141,130,128,
Macao,133,141,137,128,130,
Bahrain,134,144,140,125,129,
Malta,135,137,138,133,133,
Malawi,136,97,77,145,146,
Trinidad and Tobago,137,128,123,140,142,
Suriname,138,151,147,127,122,
Angola,139,114,110,149,145,
Guinea,140,135,131,144,140,
Oman,141,139,136,142,139,
Iceland,142,143,148,135,143,
Fiji,143,142,151,136,137,
Mauritania,144,134,129,143,148,
Papua New Guinea,145,140,146,146,136,
Aruba,146,154,157,138,138,
Mauritius,147,126,130,150,150,
Belize,148,152,158,123,149,
Rep. of Congo,149,147,142,151,144,
Mali,150,88,122,156,152,
Botswana,151,150,145,148,154,
