asset,time,AdrActCnt
dai,2020-01-01T00:00:00.000000000Z,1173
dai,2020-01-02T00:00:00.000000000Z,1570
dai,2020-01-03T00:00:00.000000000Z,1827
dai,2020-01-04T00:00:00.000000000Z,1571
dai,2020-01-05T00:00:00.000000000Z,1673
dai,2020-01-06T00:00:00.000000000Z,2366
dai,2020-01-07T00:00:00.000000000Z,2480
dai,2020-01-08T00:00:00.000000000Z,2702
dai,2020-01-09T00:00:00.000000000Z,2601
dai,2020-01-10T00:00:00.000000000Z,2537
dai,2020-01-11T00:00:00.000000000Z,2018
dai,2020-01-12T00:00:00.000000000Z,1939
dai,2020-01-13T00:00:00.000000000Z,2386
dai,2020-01-14T00:00:00.000000000Z,3603
dai,2020-01-15T00:00:00.000000000Z,3111
dai,2020-01-16T00:00:00.000000000Z,3372
dai,2020-01-17T00:00:00.000000000Z,5969
dai,2020-01-18T00:00:00.000000000Z,4828
dai,2020-01-19T00:00:00.000000000Z,3866
dai,2020-01-20T00:00:00.000000000Z,2813
dai,2020-01-21T00:00:00.000000000Z,3177
dai,2020-01-22T00:00:00.000000000Z,2557
dai,2020-01-23T00:00:00.000000000Z,2476
dai,2020-01-24T00:00:00.000000000Z,2617
dai,2020-01-25T00:00:00.000000000Z,2091
dai,2020-01-26T00:00:00.000000000Z,2198
dai,2020-01-27T00:00:00.000000000Z,2974
dai,2020-01-28T00:00:00.000000000Z,3106
dai,2020-01-29T00:00:00.000000000Z,3246
dai,2020-01-30T00:00:00.000000000Z,3272
dai,2020-01-31T00:00:00.000000000Z,3365
dai,2020-02-01T00:00:00.000000000Z,2946
dai,2020-02-02T00:00:00.000000000Z,3027
dai,2020-02-03T00:00:00.000000000Z,3262
dai,2020-02-04T00:00:00.000000000Z,3461
dai,2020-02-05T00:00:00.000000000Z,4067
dai,2020-02-06T00:00:00.000000000Z,4425
dai,2020-02-07T00:00:00.000000000Z,4389
dai,2020-02-08T00:00:00.000000000Z,3492
dai,2020-02-09T00:00:00.000000000Z,3745
dai,2020-02-10T00:00:00.000000000Z,4060
dai,2020-02-11T00:00:00.000000000Z,4180
dai,2020-02-12T00:00:00.000000000Z,5630
dai,2020-02-13T00:00:00.000000000Z,4430
dai,2020-02-14T00:00:00.000000000Z,5011
dai,2020-02-15T00:00:00.000000000Z,4468
dai,2020-02-16T00:00:00.000000000Z,3990
dai,2020-02-17T00:00:00.000000000Z,4389
dai,2020-02-18T00:00:00.000000000Z,4603
dai,2020-02-19T00:00:00.000000000Z,4358
dai,2020-02-20T00:00:00.000000000Z,4591
dai,2020-02-21T00:00:00.000000000Z,3888
dai,2020-02-22T00:00:00.000000000Z,3386
dai,2020-02-23T00:00:00.000000000Z,3387
dai,2020-02-24T00:00:00.000000000Z,4014
dai,2020-02-25T00:00:00.000000000Z,4223
dai,2020-02-26T00:00:00.000000000Z,5382
dai,2020-02-27T00:00:00.000000000Z,4713
dai,2020-02-28T00:00:00.000000000Z,4017
dai,2020-02-29T00:00:00.000000000Z,2823
dai,2020-03-01T00:00:00.000000000Z,3697
dai,2020-03-02T00:00:00.000000000Z,3977
dai,2020-03-03T00:00:00.000000000Z,3670
dai,2020-03-04T00:00:00.000000000Z,4140
dai,2020-03-05T00:00:00.000000000Z,4648
dai,2020-03-06T00:00:00.000000000Z,4132
dai,2020-03-07T00:00:00.000000000Z,3142
dai,2020-03-08T00:00:00.000000000Z,3907
dai,2020-03-09T00:00:00.000000000Z,5451
dai,2020-03-10T00:00:00.000000000Z,4054
dai,2020-03-11T00:00:00.000000000Z,4450
dai,2020-03-12T00:00:00.000000000Z,8187
dai,2020-03-13T00:00:00.000000000Z,8851
dai,2020-03-14T00:00:00.000000000Z,4429
dai,2020-03-15T00:00:00.000000000Z,4793
dai,2020-03-16T00:00:00.000000000Z,6392
dai,2020-03-17T00:00:00.000000000Z,3724
dai,2020-03-18T00:00:00.000000000Z,3253
dai,2020-03-19T00:00:00.000000000Z,3906
dai,2020-03-20T00:00:00.000000000Z,3494
dai,2020-03-21T00:00:00.000000000Z,2256
dai,2020-03-22T00:00:00.000000000Z,2379
dai,2020-03-23T00:00:00.000000000Z,3025
dai,2020-03-24T00:00:00.000000000Z,2861
dai,2020-03-25T00:00:00.000000000Z,2738
dai,2020-03-26T00:00:00.000000000Z,2864
dai,2020-03-27T00:00:00.000000000Z,2795
dai,2020-03-28T00:00:00.000000000Z,2724
dai,2020-03-29T00:00:00.000000000Z,2202
dai,2020-03-30T00:00:00.000000000Z,2672
dai,2020-03-31T00:00:00.000000000Z,2842
dai,2020-04-01T00:00:00.000000000Z,3069
dai,2020-04-02T00:00:00.000000000Z,3494
dai,2020-04-03T00:00:00.000000000Z,3050
dai,2020-04-04T00:00:00.000000000Z,2563
dai,2020-04-05T00:00:00.000000000Z,2411
dai,2020-04-06T00:00:00.000000000Z,4225
dai,2020-04-07T00:00:00.000000000Z,4071
dai,2020-04-08T00:00:00.000000000Z,3161
dai,2020-04-09T00:00:00.000000000Z,2955
dai,2020-04-10T00:00:00.000000000Z,3534
dai,2020-04-11T00:00:00.000000000Z,2338
dai,2020-04-12T00:00:00.000000000Z,2243
dai,2020-04-13T00:00:00.000000000Z,2663
dai,2020-04-14T00:00:00.000000000Z,2498
dai,2020-04-15T00:00:00.000000000Z,2821
dai,2020-04-16T00:00:00.000000000Z,3353
dai,2020-04-17T00:00:00.000000000Z,2676
dai,2020-04-18T00:00:00.000000000Z,2995
dai,2020-04-19T00:00:00.000000000Z,2935
dai,2020-04-20T00:00:00.000000000Z,3350
dai,2020-04-21T00:00:00.000000000Z,3021
dai,2020-04-22T00:00:00.000000000Z,3318
dai,2020-04-23T00:00:00.000000000Z,3963
dai,2020-04-24T00:00:00.000000000Z,3634
dai,2020-04-25T00:00:00.000000000Z,3072
dai,2020-04-26T00:00:00.000000000Z,2828
dai,2020-04-27T00:00:00.000000000Z,3554
dai,2020-04-28T00:00:00.000000000Z,3640
dai,2020-04-29T00:00:00.000000000Z,4780
dai,2020-04-30T00:00:00.000000000Z,4534
dai,2020-05-01T00:00:00.000000000Z,3842
dai,2020-05-02T00:00:00.000000000Z,3065
dai,2020-05-03T00:00:00.000000000Z,2937
dai,2020-05-04T00:00:00.000000000Z,3473
dai,2020-05-05T00:00:00.000000000Z,3741
dai,2020-05-06T00:00:00.000000000Z,3518
dai,2020-05-07T00:00:00.000000000Z,3964
dai,2020-05-08T00:00:00.000000000Z,3715
dai,2020-05-09T00:00:00.000000000Z,3212
dai,2020-05-10T00:00:00.000000000Z,4183
dai,2020-05-11T00:00:00.000000000Z,4114
dai,2020-05-12T00:00:00.000000000Z,3457
dai,2020-05-13T00:00:00.000000000Z,3347
dai,2020-05-14T00:00:00.000000000Z,3601
dai,2020-05-15T00:00:00.000000000Z,3926
dai,2020-05-16T00:00:00.000000000Z,2874
dai,2020-05-17T00:00:00.000000000Z,2913
dai,2020-05-18T00:00:00.000000000Z,4026
dai,2020-05-19T00:00:00.000000000Z,3529
