asset,time,TxTfrCnt
usdc,2020-01-01T00:00:00.000000000Z,2280
usdc,2020-01-02T00:00:00.000000000Z,3221
usdc,2020-01-03T00:00:00.000000000Z,4142
usdc,2020-01-04T00:00:00.000000000Z,2646
usdc,2020-01-05T00:00:00.000000000Z,3119
usdc,2020-01-06T00:00:00.000000000Z,4537
usdc,2020-01-07T00:00:00.000000000Z,5316
usdc,2020-01-08T00:00:00.000000000Z,6108
usdc,2020-01-09T00:00:00.000000000Z,4980
usdc,2020-01-10T00:00:00.000000000Z,4556
usdc,2020-01-11T00:00:00.000000000Z,3832
usdc,2020-01-12T00:00:00.000000000Z,2799
usdc,2020-01-13T00:00:00.000000000Z,3921
usdc,2020-01-14T00:00:00.000000000Z,7817
usdc,2020-01-15T00:00:00.000000000Z,7436
usdc,2020-01-16T00:00:00.000000000Z,6180
usdc,2020-01-17T00:00:00.000000000Z,7460
usdc,2020-01-18T00:00:00.000000000Z,4918
usdc,2020-01-19T00:00:00.000000000Z,5264
usdc,2020-01-20T00:00:00.000000000Z,3839
usdc,2020-01-21T00:00:00.000000000Z,4554
usdc,2020-01-22T00:00:00.000000000Z,4478
usdc,2020-01-23T00:00:00.000000000Z,5489
usdc,2020-01-24T00:00:00.000000000Z,4847
usdc,2020-01-25T00:00:00.000000000Z,3350
usdc,2020-01-26T00:00:00.000000000Z,3453
usdc,2020-01-27T00:00:00.000000000Z,5748
usdc,2020-01-28T00:00:00.000000000Z,5704
usdc,2020-01-29T00:00:00.000000000Z,5710
usdc,2020-01-30T00:00:00.000000000Z,6852
usdc,2020-01-31T00:00:00.000000000Z,5545
usdc,2020-02-01T00:00:00.000000000Z,5724
usdc,2020-02-02T00:00:00.000000000Z,4552
usdc,2020-02-03T00:00:00.000000000Z,5489
usdc,2020-02-04T00:00:00.000000000Z,6609
usdc,2020-02-05T00:00:00.000000000Z,7509
usdc,2020-02-06T00:00:00.000000000Z,7453
usdc,2020-02-07T00:00:00.000000000Z,7168
usdc,2020-02-08T00:00:00.000000000Z,6396
usdc,2020-02-09T00:00:00.000000000Z,6036
usdc,2020-02-10T00:00:00.000000000Z,7125
usdc,2020-02-11T00:00:00.000000000Z,7998
usdc,2020-02-12T00:00:00.000000000Z,12008
usdc,2020-02-13T00:00:00.000000000Z,8941
usdc,2020-02-14T00:00:00.000000000Z,8600
usdc,2020-02-15T00:00:00.000000000Z,7550
usdc,2020-02-16T00:00:00.000000000Z,7532
usdc,2020-02-17T00:00:00.000000000Z,7772
usdc,2020-02-18T00:00:00.000000000Z,8022
usdc,2020-02-19T00:00:00.000000000Z,7569
usdc,2020-02-20T00:00:00.000000000Z,8480
usdc,2020-02-21T00:00:00.000000000Z,6944
usdc,2020-02-22T00:00:00.000000000Z,4896
usdc,2020-02-23T00:00:00.000000000Z,4832
usdc,2020-02-24T00:00:00.000000000Z,6481
usdc,2020-02-25T00:00:00.000000000Z,9025
usdc,2020-02-26T00:00:00.000000000Z,12484
usdc,2020-02-27T00:00:00.000000000Z,10941
usdc,2020-02-28T00:00:00.000000000Z,9785
usdc,2020-02-29T00:00:00.000000000Z,5895
usdc,2020-03-01T00:00:00.000000000Z,7079
usdc,2020-03-02T00:00:00.000000000Z,9219
usdc,2020-03-03T00:00:00.000000000Z,8855
usdc,2020-03-04T00:00:00.000000000Z,7722
usdc,2020-03-05T00:00:00.000000000Z,8433
usdc,2020-03-06T00:00:00.000000000Z,8498
usdc,2020-03-07T00:00:00.000000000Z,6867
usdc,2020-03-08T00:00:00.000000000Z,9049
usdc,2020-03-09T00:00:00.000000000Z,14046
usdc,2020-03-10T00:00:00.000000000Z,8685
usdc,2020-03-11T00:00:00.000000000Z,9402
usdc,2020-03-12T00:00:00.000000000Z,24588
usdc,2020-03-13T00:00:00.000000000Z,30110
usdc,2020-03-14T00:00:00.000000000Z,13351
usdc,2020-03-15T00:00:00.000000000Z,15724
usdc,2020-03-16T00:00:00.000000000Z,22401
usdc,2020-03-17T00:00:00.000000000Z,17892
usdc,2020-03-18T00:00:00.000000000Z,14262
usdc,2020-03-19T00:00:00.000000000Z,17912
usdc,2020-03-20T00:00:00.000000000Z,17737
usdc,2020-03-21T00:00:00.000000000Z,10309
usdc,2020-03-22T00:00:00.000000000Z,9674
usdc,2020-03-23T00:00:00.000000000Z,11980
usdc,2020-03-24T00:00:00.000000000Z,12765
usdc,2020-03-25T00:00:00.000000000Z,9375
usdc,2020-03-26T00:00:00.000000000Z,9688
usdc,2020-03-27T00:00:00.000000000Z,10692
usdc,2020-03-28T00:00:00.000000000Z,10668
usdc,2020-03-29T00:00:00.000000000Z,7820
usdc,2020-03-30T00:00:00.000000000Z,10666
usdc,2020-03-31T00:00:00.000000000Z,10282
usdc,2020-04-01T00:00:00.000000000Z,10335
usdc,2020-04-02T00:00:00.000000000Z,12955
usdc,2020-04-03T00:00:00.000000000Z,10915
usdc,2020-04-04T00:00:00.000000000Z,7646
usdc,2020-04-05T00:00:00.000000000Z,7425
usdc,2020-04-06T00:00:00.000000000Z,14094
usdc,2020-04-07T00:00:00.000000000Z,14890
usdc,2020-04-08T00:00:00.000000000Z,11074
usdc,2020-04-09T00:00:00.000000000Z,9655
usdc,2020-04-10T00:00:00.000000000Z,13227
usdc,2020-04-11T00:00:00.000000000Z,7755
usdc,2020-04-12T00:00:00.000000000Z,7800
usdc,2020-04-13T00:00:00.000000000Z,10085
usdc,2020-04-14T00:00:00.000000000Z,8581
usdc,2020-04-15T00:00:00.000000000Z,9740
usdc,2020-04-16T00:00:00.000000000Z,12863
usdc,2020-04-17T00:00:00.000000000Z,10290
usdc,2020-04-18T00:00:00.000000000Z,9901
usdc,2020-04-19T00:00:00.000000000Z,9587
usdc,2020-04-20T00:00:00.000000000Z,12025
usdc,2020-04-21T00:00:00.000000000Z,10442
usdc,2020-04-22T00:00:00.000000000Z,11366
usdc,2020-04-23T00:00:00.000000000Z,14045
usdc,2020-04-24T00:00:00.000000000Z,11190
usdc,2020-04-25T00:00:00.000000000Z,9939
usdc,2020-04-26T00:00:00.000000000Z,8871
usdc,2020-04-27T00:00:00.000000000Z,10569
usdc,2020-04-28T00:00:00.000000000Z,10288
usdc,2020-04-29T00:00:00.000000000Z,15015
usdc,2020-04-30T00:00:00.000000000Z,14008
usdc,2020-05-01T00:00:00.000000000Z,13184
usdc,2020-05-02T00:00:00.000000000Z,9398
usdc,2020-05-03T00:00:00.000000000Z,9955
usdc,2020-05-04T00:00:00.000000000Z,12799
usdc,2020-05-05T00:00:00.000000000Z,10300
usdc,2020-05-06T00:00:00.000000000Z,11559
usdc,2020-05-07T00:00:00.000000000Z,12757
usdc,2020-05-08T00:00:00.000000000Z,13275
usdc,2020-05-09T00:00:00.000000000Z,10191
usdc,2020-05-10T00:00:00.000000000Z,14970
usdc,2020-05-11T00:00:00.000000000Z,13520
usdc,2020-05-12T00:00:00.000000000Z,11684
usdc,2020-05-13T00:00:00.000000000Z,11992
usdc,2020-05-14T00:00:00.000000000Z,13898
usdc,2020-05-15T00:00:00.000000000Z,12152
usdc,2020-05-16T00:00:00.000000000Z,7171
usdc,2020-05-17T00:00:00.000000000Z,7475
usdc,2020-05-18T00:00:00.000000000Z,11720
usdc,2020-05-19T00:00:00.000000000Z,9402
usdc,2020-05-20T00:00:00.000000000Z,9474
usdc,2020-05-21T00:00:00.000000000Z,12741
usdc,2020-05-22T00:00:00.000000000Z,10783
usdc,2020-05-23T00:00:00.000000000Z,7574
usdc,2020-05-24T00:00:00.000000000Z,9722
usdc,2020-05-25T00:00:00.000000000Z,7904
usdc,2020-05-26T00:00:00.000000000Z,8766
usdc,2020-05-27T00:00:00.000000000Z,10304
usdc,2020-05-28T00:00:00.000000000Z,8890
usdc,2020-05-29T00:00:00.000000000Z,11236
usdc,2020-05-30T00:00:00.000000000Z,10906
usdc,2020-05-31T00:00:00.000000000Z,7565
usdc,2020-06-01T00:00:00.000000000Z,10489
usdc,2020-06-02T00:00:00.000000000Z,16724
usdc,2020-06-03T00:00:00.000000000Z,10499
usdc,2020-06-04T00:00:00.000000000Z,9785
usdc,2020-06-05T00:00:00.000000000Z,12690
usdc,2020-06-06T00:00:00.000000000Z,7009
usdc,2020-06-07T00:00:00.000000000Z,7018
usdc,2020-06-08T00:00:00.000000000Z,10990
usdc,2020-06-09T00:00:00.000000000Z,9912
usdc,2020-06-10T00:00:00.000000000Z,10239
usdc,2020-06-11T00:00:00.000000000Z,15836
usdc,2020-06-12T00:00:00.000000000Z,11457
usdc,2020-06-13T00:00:00.000000000Z,7543
usdc,2020-06-14T00:00:00.000000000Z,10960
usdc,2020-06-15T00:00:00.000000000Z,12754
usdc,2020-06-16T00:00:00.000000000Z,13433
usdc,2020-06-17T00:00:00.000000000Z,15928
usdc,2020-06-18T00:00:00.000000000Z,13865
usdc,2020-06-19T00:00:00.000000000Z,18469
usdc,2020-06-20T00:00:00.000000000Z,20222
usdc,2020-06-21T00:00:00.000000000Z,15034
usdc,2020-06-22T00:00:00.000000000Z,18464
usdc,2020-06-23T00:00:00.000000000Z,19404
usdc,2020-06-24T00:00:00.000000000Z,17243
usdc,2020-06-25T00:00:00.000000000Z,15169
usdc,2020-06-26T00:00:00.000000000Z,20255
usdc,2020-06-27T00:00:00.000000000Z,19084
usdc,2020-06-28T00:00:00.000000000Z,12941
usdc,2020-06-29T00:00:00.000000000Z,15412
usdc,2020-06-30T00:00:00.000000000Z,14143
usdc,2020-07-01T00:00:00.000000000Z,15694
usdc,2020-07-02T00:00:00.000000000Z,21339
usdc,2020-07-03T00:00:00.000000000Z,18371
usdc,2020-07-04T00:00:00.000000000Z,16496
usdc,2020-07-05T00:00:00.000000000Z,11983
usdc,2020-07-06T00:00:00.000000000Z,15486
usdc,2020-07-07T00:00:00.000000000Z,16538
usdc,2020-07-08T00:00:00.000000000Z,22350
usdc,2020-07-09T00:00:00.000000000Z,20538
usdc,2020-07-10T00:00:00.000000000Z,18958
