id,name,symbol,peg_type,peg_mechanism
1,Tether,USDT,peggedUSD,fiat-backed
2,USD Coin,USDC,peggedUSD,fiat-backed
209,Sky Dollar,USDS,peggedUSD,crypto-backed
146,Ethena USDe,USDe,peggedUSD,crypto-backed
262,World Liberty Financial USD,USD1,peggedUSD,fiat-backed
5,Dai,DAI,peggedUSD,crypto-backed
120,PayPal USD,PYUSD,peggedUSD,fiat-backed
173,BlackRock USD,BUIDL,peggedUSD,fiat-backed
237,Circle USYC,USYC,peggedUSD,fiat-backed
286,Global Dollar,USDG,peggedUSD,fiat-backed
246,Falcon USD,USDf,peggedUSD,crypto-backed
250,Ripple USD,RLUSD,peggedUSD,fiat-backed
129,Ondo US Dollar Yield,USDY,peggedUSD,fiat-backed
14,USDD,USDD,peggedUSD,crypto-backed
221,Ethena USDtb,USDTB,peggedUSD,fiat-backed
336,United Stables,U,peggedUSD,crypto-backed
214,USDX Money USDX,USDX,peggedUSD,crypto-backed
272,YLDS,YLDS,peggedUSD,fiat-backed
195,Usual USD,USD0,peggedUSD,fiat-backed
118,GHO,GHO,peggedUSD,crypto-backed
7,TrueUSD,TUSD,peggedUSD,fiat-backed
309,USD.AI,USDai,peggedUSD,crypto-backed
119,First Digital USD,FDUSD,peggedUSD,fiat-backed
310,Solstice USX,USX,peggedUSD,crypto-backed
110,crvUSD,crvUSD,peggedUSD,crypto-backed
220,Avalon USDa,USDA,peggedUSD,crypto-backed
153,Binance Peg BUSD,BUSD,peggedUSD,crypto-backed
346,Neutrl USD,NUSD,peggedUSD,crypto-backed
6,Frax,FRAX,peggedUSD,algorithmic
17,HUSD,HUSD,peggedUSD,fiat-backed
213,M by M0,M,peggedUSD,fiat-backed
15,Dola,DOLA,peggedUSD,crypto-backed
298,infiniFi USD,IUSD,peggedUSD,crypto-backed
21,flexUSD,FLEXUSD,peggedUSD,crypto-backed
205,Agora Dollar,AUSD,peggedUSD,fiat-backed
218,River Stablecoin,satUSD,peggedUSD,crypto-backed
219,Astherus,USDF,peggedUSD,crypto-backed
306,Gate USD,GUSD,peggedUSD,fiat-backed
340,rwaUSDi,rwaUSDi,peggedUSD,crypto-backed
341,Pleasing USD,PUSD,peggedUSD,crypto-backed
197,Resolv USD,USR,peggedUSD,crypto-backed
271,Avant USD,avUSD,peggedUSD,fiat-backed
235,Frax USD,FRXUSD,peggedUSD,fiat-backed
339,Re Protocol reUSD,reUSD,peggedUSD,crypto-backed
296,Cap cUSD,CUSD,peggedUSD,crypto-backed
332,pmUSD,pmUSD,peggedUSD,crypto-backed
316,CASH,CASH,peggedUSD,fiat-backed
252,StandX DUSD,DUSD,peggedUSD,crypto-backed
284,MNEE USD,MNEE,peggedUSD,fiat-backed
315,US Permissionless Dollar,USPD,peggedUSD,crypto-backed
202,Anzen USDz,USDz,peggedUSD,fiat-backed
210,Elixir deUSD,DEUSD,peggedUSD,crypto-backed
257,OpenEden TBILL,TBILL,peggedUSD,fiat-backed
321,USDH Stablecoin,USDH,peggedUSD,fiat-backed
79,Lista USD,LISUSD,peggedUSD,crypto-backed
166,Cygnus Finance Global USD,cgUSD,peggedUSD,fiat-backed
283,Unitas,USDU,peggedUSD,crypto-backed
97,USP Stablecoin,USP,peggedUSD,crypto-backed
335,JupUSD,JUPUSD,peggedUSD,crypto-backed
241,OpenDollar USDO,USDO,peggedUSD,fiat-backed
342,MegaUSD,USDM,peggedUSD,crypto-backed
344,Yuzu USD,YZUSD,peggedUSD,crypto-backed
348,Fidelity Digital Dollar,FIDD,peggedUSD,fiat-backed
275,Quantoz USDQ,USDQ,peggedUSD,fiat-backed
