country_code,country_name,year,value,indicator_code,indicator_name,dimension
AO,Angola,2021,16.86,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AU,Australia,2023,2.878958375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AU,Australia,2022,3.4228125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AU,Australia,2021,4.12005125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AU,Australia,2020,3.631870625,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AT,Austria,2023,1.82283333333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AT,Austria,2022,2.1225,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AT,Austria,2021,1.88805666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AT,Austria,2020,2.06010333333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BH,Bahrain,2023,3.8383335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BH,Bahrain,2022,2.36833325,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BH,Bahrain,2021,1.9425025,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BH,Bahrain,2020,3.2416725,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BE,Belgium,2023,3.80833325,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BE,Belgium,2022,6.368125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BE,Belgium,2021,5.2975,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BE,Belgium,2020,6.1374325,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BR,Brazil,2023,4.59555566666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BR,Brazil,2022,6.28694433333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BR,Brazil,2021,5.545,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
BR,Brazil,2020,7.98769666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CM,Cameroon,2023,11.655,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CM,Cameroon,2022,9.93,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CM,Cameroon,2021,14.705,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CM,Cameroon,2020,15.97728,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CA,Canada,2023,2.970911,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CA,Canada,2022,3.2757778,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CA,Canada,2021,4.171556,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CA,Canada,2020,3.89488333333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CL,Chile,2023,5.136667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CL,Chile,2022,5.256667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CL,Chile,2021,5.05,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CL,Chile,2020,7.16843,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CR,Costa Rica,2023,2.833333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CR,Costa Rica,2022,1.88,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CR,Costa Rica,2021,2.83333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CR,Costa Rica,2020,2.875,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CI,Cote d'Ivoire,2023,3.053333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CI,Cote d'Ivoire,2022,2.0,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CI,Cote d'Ivoire,2021,2.39667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CI,Cote d'Ivoire,2020,2.51183,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CZ,Czechia,2023,2.8941665,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CZ,Czechia,2022,3.19,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CZ,Czechia,2021,3.36333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CZ,Czechia,2020,5.052005,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DO,Dominican Republic,2023,7.423333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DO,Dominican Republic,2022,10.736667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DO,Dominican Republic,2021,3.55333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DO,Dominican Republic,2020,10.68391,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
FR,France,2023,2.896979125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
FR,France,2022,2.9497916875,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
FR,France,2021,4.40895875,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
FR,France,2020,5.05461,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2023,3.02109025,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2022,3.30663195833333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2021,3.79444375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2020,4.08559041666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2023,0.5375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2022,0.41,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2021,0.75,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2023,13.445,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2022,13.815001,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2021,15.515,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2020,12.05394,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2023,2.18925442105263,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2022,3.91092594444444,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2021,5.42986368421053,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2020,5.96445157894737,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2023,2.62178585714286,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2022,2.76095228571429,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2021,2.68809428571429,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2020,3.27544142857143,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2023,2.265,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2022,2.4475,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2021,2.4125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
