date,USDT,USDC,stablecoin,post_nov_2022
2020-01-01,1,0,0,0
2020-02-01,1,0,0,0
2020-03-01,1,0,0,0
2020-04-01,1,0,0,0
2020-05-01,1,0,0,0
2020-06-01,1,0,0,0
2020-07-01,2,1,0,0
2020-08-01,2,1,0,0
2020-09-01,2,1,0,0
2020-10-01,2,0,0,0
2020-11-01,2,1,0,0
2020-12-01,3,1,0,0
2021-01-01,6,1,1,0
2021-02-01,11,2,1,0
2021-03-01,11,2,1,0
2021-04-01,21,2,1,0
2021-05-01,24,2,1,0
2021-06-01,12,1,1,0
2021-07-01,11,1,1,0
2021-08-01,16,1,1,0
2021-09-01,15,2,1,0
2021-10-01,19,2,1,0
2021-11-01,23,2,1,0
2021-12-01,22,2,1,0
2022-01-01,24,3,1,0
2022-02-01,22,2,1,0
2022-03-01,24,2,1,0
2022-04-01,24,2,1,0
2022-05-01,33,4,3,0
2022-06-01,22,3,1,0
2022-07-01,20,2,1,0
2022-08-01,18,2,1,0
2022-09-01,19,2,1,0
2022-10-01,16,1,0,0
2022-11-01,19,2,1,0
2022-12-01,15,1,0,1
2023-01-01,16,1,0,1
2023-02-01,18,2,1,1
2023-03-01,20,7,1,1
2023-04-01,19,1,0,1
2023-05-01,18,1,0,1
2023-06-01,17,1,0,1
2023-07-01,17,1,0,1
2023-08-01,17,2,1,1
2023-09-01,16,1,0,1
2023-10-01,18,1,0,1
2023-11-01,20,2,0,1
2023-12-01,23,2,0,1
2024-01-01,22,2,0,1
2024-02-01,26,2,0,1
2024-03-01,33,3,1,1
2024-04-01,27,3,1,1
2024-05-01,27,2,0,1
2024-06-01,29,2,1,1
2024-07-01,28,2,0,1
2024-08-01,29,2,0,1
2024-09-01,31,2,0,1
2024-10-01,27,2,1,1
2024-11-01,35,4,1,1
2024-12-01,37,4,2,1
2025-01-01,32,5,1,1
2025-02-01,29,3,1,1
2025-03-01,28,3,1,1
2025-04-01,26,3,1,1
2025-05-01,26,4,2,1
2025-06-01,25,4,4,1
2025-07-01,30,5,5,1
2025-08-01,100,19,15,1
2025-09-01,49,11,13,1
2025-10-01,41,10,15,1
2025-11-01,38,9,13,1
2025-12-01,33,7,10,1
