country_iso3,year,rank,rank_note,adoption_percentile,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank
AFG,2020,,Among lowest,0.0,0.0,,,,105.0,46.0,60.0,,,
AFG,2021,20.0,,0.8766233766233766,0.13,,,,,38.0,53.0,7.0,,
AFG,2022,146.0,,0.0,,114.0,145.0,,,,,146.0,114.0,146.0
AFG,2023,147.0,,0.051948051948051965,,128.0,149.0,,,,,125.0,127.0,149.0
AFG,2024,31.0,,0.8,,40.0,8.0,,,,,,56.0,46.0
AFG,2025,122.0,,0.06201550387596899,,122.0,122.0,122.0,,,,,123.0,
AGO,2020,109.0,,0.22857142857142854,0.016,,,,124.0,102.0,119.0,109.0,,
AGO,2021,117.0,,0.24675324675324672,0.02,,,,,122.0,130.0,41.0,,
AGO,2022,117.0,,0.19999999999999996,,109.0,121.0,,,,,116.0,109.0,106.0
AGO,2023,108.0,,0.30519480519480524,,100.0,116.0,,,,,67.0,106.0,116.0
AGO,2024,139.0,,0.07999999999999996,,114.0,149.0,,,,,,110.0,145.0
AGO,2025,102.0,,0.21705426356589153,,89.0,115.0,93.0,,,,,80.0,
ALB,2020,118.0,,0.16428571428571426,0.01,,,,88.0,121.0,120.0,128.0,,
ALB,2021,94.0,,0.39610389610389607,0.03,,,,,103.0,83.0,71.0,,
ALB,2022,96.0,,0.3448275862068966,,105.0,86.0,,,,,49.0,105.0,76.0
ALB,2023,85.0,,0.4545454545454546,,106.0,58.0,,,,,98.0,110.0,58.0
ALB,2024,109.0,,0.28,,110.0,111.0,,,,,,117.0,100.0
ALB,2025,111.0,,0.1472868217054264,,111.0,113.0,113.0,,,,,103.0,
AND,2024,111.0,,0.2666666666666667,,125.0,103.0,,,,,,133.0,79.0
AND,2025,127.0,,0.023255813953488413,,127.0,126.0,127.0,,,,,128.0,
ARE,2020,76.0,,0.4642857142857143,0.056,,,,65.0,101.0,95.0,61.0,,
ARE,2021,100.0,,0.3571428571428571,0.02,,,,,88.0,82.0,104.0,,
ARE,2023,78.0,,0.5,,77.0,60.0,,,,,102.0,89.0,60.0
ARE,2024,56.0,,0.6333333333333333,,71.0,58.0,,,,,,75.0,49.0
ARE,2025,53.0,,0.5968992248062015,,59.0,49.0,60.0,,,,,64.0,
ARG,2020,28.0,,0.8071428571428572,0.174,,,,73.0,29.0,27.0,42.0,,
ARG,2021,10.0,,0.9415584415584416,0.19,,,,,17.0,14.0,33.0,,
ARG,2022,13.0,,0.9172413793103449,,13.0,21.0,,,,,26.0,13.0,25.0
ARG,2023,15.0,,0.9090909090909091,,14.0,19.0,,,,,29.0,12.0,19.0
ARG,2024,15.0,,0.9066666666666666,,13.0,17.0,,,,,,13.0,20.0
ARG,2025,20.0,,0.8527131782945736,,18.0,29.0,19.0,,,,,18.0,
ARM,2020,105.0,,0.2571428571428571,0.021,,,,54.0,110.0,110.0,117.0,,
ARM,2021,107.0,,0.3116883116883117,0.02,,,,,105.0,107.0,81.0,,
ARM,2022,75.0,,0.4896551724137931,,72.0,49.0,,,,,70.0,72.0,45.0
ARM,2023,89.0,,0.4285714285714286,,81.0,88.0,,,,,113.0,63.0,88.0
ARM,2024,77.0,,0.4933333333333333,,79.0,81.0,,,,,,70.0,81.0
ARM,2025,79.0,,0.39534883720930236,,79.0,86.0,81.0,,,,,73.0,
ATG,2023,145.0,,0.06493506493506496,,148.0,135.0,,,,,135.0,151.0,135.0
AUS,2020,20.0,,0.8642857142857143,0.21,,,,34.0,34.0,36.0,27.0,,
AUS,2021,38.0,,0.7597402597402597,0.07,,,,,32.0,30.0,98.0,,
AUS,2022,40.0,,0.7310344827586207,,40.0,25.0,,,,,90.0,40.0,21.0
AUS,2023,41.0,,0.7402597402597403,,37.0,33.0,,,,,70.0,42.0,33.0
AUS,2024,39.0,,0.7466666666666666,,41.0,36.0,,,,,,48.0,34.0
AUS,2025,38.0,,0.7131782945736433,,38.0,30.0,36.0,,,,,45.0,
AUT,2020,54.0,,0.6214285714285714,0.087,,,,29.0,72.0,58.0,67.0,,
AUT,2021,98.0,,0.3701298701298701,0.02,,,,,65.0,67.0,130.0,,
AUT,2022,107.0,,0.2689655172413793,,83.0,56.0,,,,,127.0,83.0,66.0
AUT,2023,84.0,,0.461038961038961,,73.0,65.0,,,,,127.0,78.0,65.0
AUT,2024,74.0,,0.5133333333333333,,84.0,71.0,,,,,,84.0,67.0
AUT,2025,74.0,,0.43410852713178294,,80.0,58.0,78.0,,,,,88.0,
AZE,2020,125.0,,0.11428571428571432,0.008,,,,119.0,116.0,102.0,136.0,,
AZE,2021,101.0,,0.35064935064935066,0.02,,,,,69.0,96.0,110.0,,
AZE,2022,109.0,,0.2551724137931034,,100.0,102.0,,,,,88.0,100.0,94.0
AZE,2023,74.0,,0.525974025974026,,67.0,72.0,,,,,99.0,56.0,72.0
AZE,2024,92.0,,0.3933333333333333,,75.0,107.0,,,,,,69.0,106.0
AZE,2025,90.0,,0.31007751937984496,,81.0,97.0,82.0,,,,,83.0,
BEL,2020,44.0,,0.6928571428571428,0.125,,,,30.0,55.0,51.0,47.0,,
BEL,2021,71.0,,0.5454545454545454,0.04,,,,,52.0,56.0,100.0,,
BEL,2022,94.0,,0.35862068965517246,,74.0,58.0,,,,,128.0,74.0,55.0
BEL,2023,81.0,,0.48051948051948057,,74.0,75.0,,,,,105.0,82.0,75.0
BEL,2024,68.0,,0.5533333333333333,,77.0,63.0,,,,,,83.0,69.0
BEL,2025,64.0,,0.5116279069767442,,72.0,50.0,68.0,,,,,77.0,
BEN,2020,90.0,,0.3642857142857143,0.039,,,,109.0,66.0,81.0,88.0,,
BEN,2021,36.0,,0.7727272727272727,0.07,,,,,75.0,76.0,11.0,,
BEN,2022,106.0,,0.27586206896551724,,94.0,52.0,,,,,85.0,94.0,103.0
BEN,2023,80.0,,0.487012987012987,,123.0,79.0,,,,,34.0,119.0,79.0
BEN,2024,94.0,,0.38,,119.0,72.0,,,,,,115.0,68.0
BFA,2020,126.0,,0.1071428571428571,0.006,,,,149.0,126.0,124.0,114.0,,
BFA,2021,131.0,,0.1558441558441559,0.01,,,,,120.0,125.0,139.0,,
BFA,2022,133.0,,0.08965517241379306,,128.0,108.0,,,,,136.0,128.0,116.0
BFA,2023,110.0,,0.29220779220779225,,94.0,131.0,,,,,39.0,83.0,131.0
BFA,2024,110.0,,0.2733333333333333,,131.0,96.0,,,,,,128.0,87.0
BGD,2020,45.0,,0.6857142857142857,0.118,,,,104.0,21.0,24.0,80.0,,
BGD,2021,29.0,,0.8181818181818181,0.09,,,,,30.0,40.0,54.0,,
BGD,2022,36.0,,0.7586206896551724,,30.0,48.0,,,,,92.0,30.0,39.0
BGD,2023,17.0,,0.8961038961038961,,18.0,22.0,,,,,33.0,19.0,22.0
