country,country_iso3,rank,overall_score,onchain_value_received_rank,onchain_retail_value_received_rank,number_of_onchain_deposits_rank,p2p_exchange_trade_volume_rank,rank_note
Ukraine,UKR,1,1.0,4,4,7,11,
Russia,RUS,2,0.931,7,8,5,9,
Venezuela,VEN,3,0.799,19,14,15,2,
China,CHN,4,0.672,1,1,95,53,
Kenya,KEN,5,0.645,37,11,57,1,
United States of America,USA,6,0.627,5,6,39,16,
South Africa,ZAF,7,0.526,12,9,41,10,
Nigeria,NGA,8,0.459,14,7,112,3,
Colombia,COL,9,0.444,25,18,61,4,
Vietnam,VNM,10,0.443,2,2,44,81,
India,IND,11,0.395,3,3,129,32,
Thailand,THA,12,0.365,17,15,21,33,
Brazil,BRA,13,0.338,6,5,66,68,
United Kingdom,GBR,14,0.333,15,19,42,17,
Pakistan,PAK,15,0.272,13,16,96,26,
Philippines,PHL,16,0.262,9,13,91,44,
South Korea,KOR,17,0.246,8,10,24,97,
Peru,PER,18,0.242,43,30,76,7,
Belarus,BLR,19,0.241,42,44,25,12,
Australia,AUS,20,0.21,36,34,34,27,
France,FRA,21,0.208,18,25,49,55,
Latvia,LVA,22,0.204,56,61,1,22,
Canada,CAN,24,0.196,28,31,45,37,
Malaysia,MYS,25,0.192,38,27,47,36,
Netherlands,NLD,26,0.183,32,38,19,59,
Ghana,GHA,27,0.18,44,23,87,19,
Argentina,ARG,28,0.174,27,29,73,42,
Turkey,TUR,29,0.174,10,17,50,93,
Georgia,GEO,30,0.17,50,58,18,21,
Ecuador,ECU,31,0.157,67,53,92,5,
Indonesia,IDN,32,0.151,11,12,75,103,
Germany,DEU,33,0.147,21,24,63,79,
Chile,CHL,34,0.147,45,47,64,29,
Lithuania,LTU,35,0.144,64,78,9,25,
Slovakia,SVK,36,0.143,47,56,14,51,
Spain,ESP,37,0.138,29,33,56,66,
Poland,POL,38,0.137,23,26,46,86,
Mexico,MEX,39,0.135,26,22,101,65,
Slovenia,SVN,40,0.133,53,79,4,46,
Estonia,EST,41,0.13,94,92,2,20,
Morocco,MAR,42,0.127,35,35,108,39,
Portugal,PRT,43,0.126,54,59,35,34,
Belgium,BEL,44,0.125,51,55,30,47,
Bangladesh,BGD,45,0.118,24,21,104,80,
Sweden,SWE,46,0.117,70,67,40,28,
Czech Republic,CZE,47,0.114,30,40,12,96,
Romania,ROU,48,0.112,48,49,59,56,
Italy,ITA,49,0.109,31,36,71,78,
Singapore,SGP,50,0.102,73,94,8,54,
Panama,PAN,51,0.094,117,118,36,8,
Iran,IRN,52,0.092,20,28,102,92,
El Salvador,SLV,53,0.09,107,105,86,6,
Austria,AUT,54,0.087,58,72,29,67,
Cameroon,CMR,55,0.085,76,39,106,45,
Finland,FIN,56,0.085,78,88,26,57,
Greece,GRC,57,0.084,65,68,48,62,
Dominican Republic,DOM,58,0.083,88,73,82,30,
Bolivia,BOL,59,0.082,69,65,89,38,
United Republic of Tanzania,TZA,60,0.081,86,42,134,13,
Switzerland,CHE,61,0.08,55,69,20,85,
Uganda,UGA,62,0.079,57,48,139,14,
New Zealand,NZL,63,0.075,103,104,60,18,
Egypt,EGY,64,0.074,40,37,116,83,
Bulgaria,BGR,65,0.073,33,45,11,118,
Republic of Serbia,SRB,66,0.073,52,57,38,90,
Kazakhstan,KAZ,67,0.072,61,74,84,60,
Norway,NOR,68,0.072,90,99,27,63,
Ireland,IRL,69,0.071,101,108,23,48,
Cyprus,CYP,70,0.067,108,122,16,40,
Japan,JPN,71,0.065,16,32,122,106,
Mozambique,MOZ,72,0.061,83,60,128,35,
Togo,TGO,73,0.06,105,63,90,52,
Montenegro,MNE,74,0.06,131,127,17,15,
Mauritius,MUS,75,0.059,106,115,6,71,
United Arab Emirates,ARE,76,0.056,95,101,65,61,
Croatia,HRV,77,0.054,72,80,28,94,
Sri Lanka,LKA,78,0.053,75,77,97,70,
Costa Rica,CRI,79,0.052,113,100,74,49,
Zambia,ZMB,80,0.051,115,89,113,24,
Rwanda,RWA,81,0.049,93,86,132,31,
Nepal,NPL,82,0.049,41,43,115,108,
Malta,MLT,83,0.048,129,131,3,50,
Uruguay,URY,84,0.048,104,113,70,64,
Denmark,DNK,85,0.042,96,98,37,91,
Bosnia and Herzegovina,BIH,86,0.042,99,95,55,87,
Hungary,HUN,87,0.041,62,75,51,113,
Moldova,MDA,88,0.04,68,70,22,120,
Cambodia,KHM,89,0.04,49,51,111,111,
Benin,BEN,90,0.039,81,66,109,88,
Guatemala,GTM,91,0.039,74,81,131,72,
Jamaica,JAM,92,0.038,114,96,68,84,
Saudi Arabia,SAU,93,0.036,89,97,118,73,
