country,country_iso3,rank,overall_score,onchain_value_received_rank,onchain_retail_value_received_rank,p2p_exchange_trade_volume_rank,rank_note
Vietnam,VNM,1,1.0,4,2,3,
India,IND,2,0.37,2,3,72,
Pakistan,PAK,3,0.36,11,12,8,
Ukraine,UKR,4,0.29,6,5,40,
Kenya,KEN,5,0.28,41,28,1,
Nigeria,NGA,6,0.26,15,10,18,
Venezuela,VEN,7,0.25,29,22,6,
United States,USA,8,0.22,3,4,109,
Togo,TGO,9,0.19,47,42,2,
Argentina,ARG,10,0.19,14,17,33,
Colombia,COL,11,0.19,27,23,12,
Thailand,THA,12,0.17,7,11,76,
China,CHN,13,0.16,1,1,155,
Brazil,BRA,14,0.16,5,7,113,
Philippines,PHL,15,0.16,10,9,80,
South Africa,ZAF,16,0.14,18,16,62,
Ghana,GHA,17,0.14,32,37,10,
Russian Federation,RUS,18,0.14,8,6,122,
Tanzania,TZA,19,0.13,60,45,4,
Afghanistan,AFG,20,0.13,53,38,7,
United Kingdom,GBR,21,0.13,12,15,94,
Peru,PER,22,0.11,39,39,23,
Malaysia,MYS,23,0.1,38,33,28,
Morocco,MAR,24,0.1,34,35,35,
Indonesia,IDN,25,0.1,16,14,111,
Turkey,TUR,26,0.1,9,8,147,
Cameroon,CMR,27,0.09,86,60,5,
Bulgaria,BGR,28,0.09,46,41,30,
Bangladesh,BGD,29,0.09,40,30,54,
Nepal,NPL,30,0.09,42,46,26,
Canada,CAN,31,0.09,19,20,103,
"Congo, The Democratic Republic of the",COD,32,0.08,69,31,31,
Belarus,BLR,33,0.08,36,40,52,
France,FRA,34,0.08,17,18,123,
Ecuador,ECU,35,0.07,59,59,21,
Benin,BEN,36,0.07,76,75,11,
Mozambique,MOZ,37,0.07,35,62,45,
Australia,AUS,38,0.07,30,32,98,
"Korea, Republic of",KOR,40,0.07,13,13,153,
Poland,POL,41,0.07,22,25,126,
Cambodia,KHM,42,0.07,62,53,29,
Zambia,ZMB,43,0.06,66,77,17,
Mexico,MEX,44,0.06,23,21,133,
Algeria,DZA,45,0.06,48,36,77,
Netherlands,NLD,46,0.06,26,29,115,
Chile,CHL,47,0.06,54,55,43,
Spain,ESP,48,0.06,25,27,125,
Germany,DEU,49,0.06,20,24,143,
