country,country_iso3,rank,centralized_service_value_received_rank,retail_centralized_service_value_received_rank,defi_value_received_rank,retail_defi_value_received_rank,rank_note
India,IND,1,1,1,3,2,
Nigeria,NGA,2,5,2,2,3,
Indonesia,IDN,3,6,6,1,1,
United States,USA,4,2,12,4,4,
Vietnam,VNM,5,3,3,6,5,
Ukraine,UKR,6,7,5,5,6,
Russia,RUS,7,11,7,7,7,
Philippines,PHL,8,9,8,14,9,
Pakistan,PAK,9,4,4,18,13,
Brazil,BRA,10,8,10,10,14,
Türkiye,TUR,11,14,11,15,11,
United Kingdom,GBR,12,12,21,9,8,
Venezuela,VEN,13,17,16,11,12,
Mexico,MEX,14,18,17,13,10,
Argentina,ARG,15,13,13,17,20,
Thailand,THA,16,16,15,19,16,
Cambodia,KHM,17,10,9,35,23,
Canada,CAN,18,22,26,16,15,
South Korea,KOR,19,15,14,33,33,
China,CHN,20,20,18,24,22,
Germany,DEU,21,21,30,23,21,
France,FRA,22,26,33,21,19,
Japan,JPN,23,24,20,29,25,
Poland,POL,24,28,25,25,24,
Spain,ESP,25,29,36,20,18,
Ethiopia,ETH,26,30,24,26,32,
Morocco,MAR,27,25,19,41,36,
Kenya,KEN,28,31,27,32,29,
South Africa,ZAF,30,19,28,40,35,
Afghanistan,AFG,31,40,56,8,46,
Netherlands,NLD,32,44,50,27,28,
Uzbekistan,UZB,33,46,40,30,26,
Uganda,UGA,34,64,57,12,31,
Bangladesh,BGD,35,27,23,50,41,
Colombia,COL,36,23,22,45,54,
Italy,ITA,37,38,37,37,37,
Belarus,BLR,38,43,34,39,40,
Australia,AUS,39,41,48,36,34,
Saudi Arabia,SAU,41,45,53,31,30,
Peru,PER,42,36,31,48,43,
Algeria,DZA,43,34,29,46,53,
Egypt,EGY,44,32,32,52,60,
Yemen,YEM,45,57,43,43,39,
Ghana,GHA,46,33,35,67,57,
Malaysia,MYS,47,51,47,57,45,
Dem. Rep. of Congo,COD,48,90,87,28,27,
Serbia,SRB,49,58,59,49,44,
Portugal,PRT,50,50,60,51,52,
Czechia,CZE,51,52,65,55,59,
Chile,CHL,52,55,55,60,58,
Bulgaria,BGR,53,63,74,54,48,
Georgia,GEO,54,74,64,53,55,
Switzerland,CHE,55,67,81,47,47,
UAE,ARE,56,71,75,58,49,
Kazakhstan,KAZ,57,47,41,79,76,
Zambia,ZMB,58,35,54,80,78,
Moldova,MDA,59,37,38,94,88,
Hungary,HUN,60,65,73,64,66,
Greece,GRC,61,69,76,65,65,
Tanzania,TZA,62,81,66,69,62,
Somalia,SOM,63,113,93,42,38,
Senegal,SEN,64,72,62,73,74,
Romania,ROU,65,62,67,76,73,
West Bank and Gaza,PSE,66,80,63,84,50,
Ecuador,ECU,67,49,45,75,109,
Belgium,BEL,68,77,83,63,69,
Iraq,IRQ,69,56,46,91,85,
Israel,ISR,70,89,89,61,63,
Nepal,NPL,71,104,79,56,51,
Sri Lanka,LKA,72,53,44,102,90,
Sweden,SWE,73,76,90,68,70,
Austria,AUT,74,84,84,71,67,
Singapore,SGP,75,82,104,62,61,
Kyrgyzstan,KGZ,76,59,58,74,105,
Armenia,ARM,77,79,70,81,81,
Myanmar,MMR,78,78,78,85,71,
Latvia,LVA,79,103,106,44,75,
Tunisia,TUN,80,60,49,105,101,
Bosnia and Herzegovina,BIH,81,105,98,66,64,
Lithuania,LTU,82,92,100,70,72,
Finland,FIN,83,91,102,59,80,
Jordan,JOR,84,54,42,110,107,
Togo,TGO,85,116,85,77,56,
Laos,LAO,86,70,72,88,108,
Slovakia,SVK,87,66,94,89,93,
Paraguay,PRY,88,93,88,34,121,
Estonia,EST,89,96,82,78,91,
Costa Rica,CRI,90,94,91,83,82,
Croatia,HRV,91,85,96,90,84,
Azerbaijan,AZE,92,75,69,107,106,
Dominican Republic,DOM,93,68,71,113,102,
Benin,BEN,94,119,115,72,68,
New Zealand,NZL,95,100,99,95,92,
Madagascar,MDG,96,115,101,82,83,
Slovenia,SVN,97,86,97,104,104,
Macedonia,MKD,98,108,108,98,77,
Norway,NOR,99,101,103,99,94,
Libya,LBY,100,111,105,92,86,
Bolivia,BOL,101,48,52,124,115,
Ireland,IRL,102,102,118,86,98,
Denmark,DNK,103,106,114,87,95,
Jamaica,JAM,104,109,109,97,89,
Zimbabwe,ZWE,105,61,80,118,116,
El Salvador,SLV,106,73,61,121,117,
Cyprus,CYP,107,117,112,101,99,
Côte d'Ivoire,CIV,108,98,92,114,110,
Albania,ALB,109,110,117,111,100,
Burkina Faso,BFA,110,131,128,96,87,
Andorra,AND,111,125,133,103,79,
Panama,PAN,112,107,111,119,120,
Nicaragua,NIC,114,121,119,116,112,
Honduras,HND,115,87,107,131,123,
Mozambique,MOZ,116,132,126,115,97,
Tajikistan,TJK,117,133,127,93,113,
Rwanda,RWA,118,120,120,112,134,
Cameroon,CMR,119,95,86,139,125,
Guatemala,GTM,120,99,95,134,132,
Uruguay,URY,121,112,113,129,131,
Luxembourg,LUX,122,129,139,108,114,
Kuwait,KWT,123,130,125,122,119,
Mongolia,MNG,124,123,121,126,127,
Liberia,LBR,125,118,116,137,124,
Maldives,MDV,126,127,124,120,126,
Montenegro,MNE,127,136,134,117,118,
Bahamas,BHS,128,146,149,106,103,
Haiti,HTI,129,83,68,147,141,
Iran,IRN,130,148,144,109,111,
Qatar,QAT,131,124,132,132,135,
Namibia,NAM,132,138,141,130,128,
Bahrain,BHR,134,144,140,125,129,
Malta,MLT,135,137,138,133,133,
Malawi,MWI,136,97,77,145,146,
Trinidad and Tobago,TTO,137,128,123,140,142,
Suriname,SUR,138,151,147,127,122,
Angola,AGO,139,114,110,149,145,
Guinea,GIN,140,135,131,144,140,
Oman,OMN,141,139,136,142,139,
Iceland,ISL,142,143,148,135,143,
Fiji,FJI,143,142,151,136,137,
Mauritania,MRT,144,134,129,143,148,
Papua New Guinea,PNG,145,140,146,146,136,
Mauritius,MUS,147,126,130,150,150,
Belize,BLZ,148,152,158,123,149,
Rep. of Congo,COG,149,147,142,151,144,
Mali,MLI,150,88,122,156,152,
Botswana,BWA,151,150,145,148,154,
