asset,AdrActCnt,date,post_nov_2022
usdt_trx,1053,2020-01-01,0
usdt_eth,26984,2020-01-01,0
usdc_eth,1481,2020-01-01,0
dai,1173,2020-01-01,0
usdt_eth,29802,2020-01-02,0
usdt_trx,2285,2020-01-02,0
usdc_eth,2302,2020-01-02,0
dai,1570,2020-01-02,0
usdt_eth,38227,2020-01-03,0
usdc_eth,2561,2020-01-03,0
usdt_trx,11054,2020-01-03,0
dai,1827,2020-01-03,0
usdt_eth,32527,2020-01-04,0
usdt_trx,18485,2020-01-04,0
dai,1571,2020-01-04,0
usdc_eth,1824,2020-01-04,0
usdt_eth,30764,2020-01-05,0
usdt_trx,18354,2020-01-05,0
usdc_eth,1924,2020-01-05,0
dai,1673,2020-01-05,0
usdt_trx,18675,2020-01-06,0
usdt_eth,36692,2020-01-06,0
usdc_eth,2761,2020-01-06,0
dai,2366,2020-01-06,0
usdt_eth,34579,2020-01-07,0
usdc_eth,2930,2020-01-07,0
usdt_trx,11784,2020-01-07,0
dai,2480,2020-01-07,0
usdt_eth,37883,2020-01-08,0
usdc_eth,3327,2020-01-08,0
dai,2702,2020-01-08,0
usdt_trx,18380,2020-01-08,0
usdt_eth,37431,2020-01-09,0
usdc_eth,2878,2020-01-09,0
dai,2601,2020-01-09,0
usdt_trx,18802,2020-01-09,0
usdc_eth,2896,2020-01-10,0
usdt_eth,34873,2020-01-10,0
dai,2537,2020-01-10,0
usdt_trx,18985,2020-01-10,0
usdt_trx,18753,2020-01-11,0
usdc_eth,2337,2020-01-11,0
dai,2018,2020-01-11,0
usdt_eth,31979,2020-01-11,0
usdt_eth,27982,2020-01-12,0
usdt_trx,18616,2020-01-12,0
usdc_eth,1819,2020-01-12,0
dai,1939,2020-01-12,0
dai,2386,2020-01-13,0
usdc_eth,2295,2020-01-13,0
usdt_trx,19061,2020-01-13,0
usdt_eth,31894,2020-01-13,0
dai,3603,2020-01-14,0
usdt_trx,19965,2020-01-14,0
usdt_eth,38454,2020-01-14,0
usdc_eth,3939,2020-01-14,0
usdc_eth,3941,2020-01-15,0
dai,3111,2020-01-15,0
usdt_eth,46500,2020-01-15,0
usdt_trx,13721,2020-01-15,0
usdt_trx,18890,2020-01-16,0
