month,stablecoin,stablecoin_id,total_supply_usd,n_chains
2020-01-01,DAI,5,106324527.0,1
2020-01-01,TUSD,7,136058696.0,2
2020-01-01,USDC,2,434105143.0,1
2020-01-01,USDP,11,227843848.0,1
2020-01-01,USDT,1,3047835351.0,2
2020-02-01,DAI,5,118876320.0,1
2020-02-01,TUSD,7,142573666.0,1
2020-02-01,USDC,2,439327964.0,1
2020-02-01,USDP,11,199687496.0,1
2020-02-01,USDT,1,3283329792.0,2
2020-03-01,DAI,5,80690771.0,1
2020-03-01,TUSD,7,136389747.0,1
2020-03-01,USDC,2,688139019.0,1
2020-03-01,USDP,11,244883291.0,1
2020-03-01,USDT,1,4953542994.0,2
2020-04-01,BUSD,4,190177306.0,1
2020-04-01,DAI,5,99337142.0,1
2020-04-01,TUSD,7,135583628.0,2
2020-04-01,USDC,2,722011498.0,1
2020-04-01,USDP,11,258478972.0,1
2020-04-01,USDT,1,6725524850.0,2
2020-05-01,BUSD,4,171665941.0,1
2020-05-01,DAI,5,123786037.0,1
2020-05-01,TUSD,7,137075261.0,2
2020-05-01,USDC,2,741759633.0,1
2020-05-01,USDP,11,245429131.0,1
2020-05-01,USDT,1,7996630509.0,2
2020-06-01,BUSD,4,168290402.0,1
2020-06-01,DAI,5,124705360.0,1
2020-06-01,SUSD,22,20240189.0,1
2020-06-01,TUSD,7,140743037.0,2
2020-06-01,USDC,2,974564885.0,1
2020-06-01,USDP,11,238676782.0,1
2020-06-01,USDT,1,8781268784.0,2
2020-07-01,BUSD,4,147007845.0,1
2020-07-01,DAI,5,333619464.0,1
2020-07-01,SUSD,22,37915378.0,1
2020-07-01,TUSD,7,196616453.0,1
2020-07-01,USDC,2,1142254948.0,1
2020-07-01,USDP,11,250895235.0,1
2020-07-01,USDT,1,9800967843.0,2
2020-08-01,BUSD,4,187590838.0,1
2020-08-01,DAI,5,437762117.0,1
2020-08-01,SUSD,22,83387430.0,1
2020-08-01,TUSD,7,383444525.0,2
2020-08-01,USDC,2,1466969581.0,1
2020-08-01,USDP,11,277682566.0,2
2020-08-01,USDT,1,12367845159.0,2
2020-09-01,BUSD,4,476277256.0,1
2020-09-01,DAI,5,894918827.0,1
2020-09-01,SUSD,22,72941112.0,1
2020-09-01,TUSD,7,395785058.0,1
2020-09-01,USDC,2,2539063886.0,2
2020-09-01,USDP,11,292357214.0,1
2020-09-01,USDT,1,14430472568.0,3
2020-10-01,BUSD,4,710353928.0,1
2020-10-01,DAI,5,917571148.0,1
2020-10-01,SUSD,22,56797992.0,1
2020-10-01,TUSD,7,252954005.0,1
2020-10-01,USDC,2,2893818230.0,3
2020-10-01,USDP,11,430492716.0,1
2020-10-01,USDT,1,15779767124.0,3
2020-11-01,BUSD,4,682066562.0,1
2020-11-01,DAI,5,1018737394.0,1
2020-11-01,SUSD,22,53687596.0,1
2020-11-01,TUSD,7,307405992.0,1
2020-11-01,USDC,2,2974734797.0,3
2020-11-01,USDP,11,406646163.0,1
2020-11-01,USDT,1,17987724989.0,4
2020-12-01,BUSD,4,917036463.0,3
2020-12-01,DAI,5,1145772340.0,6
2020-12-01,FLEXUSD,21,12.0,1
2020-12-01,FRAX,6,54570705.0,1
2020-12-01,FUSD,63,1691770.0,1
2020-12-01,GUSD,19,15851153.0,1
2020-12-01,MUSD,26,26747417.0,1
2020-12-01,RSV,25,1422789.0,1
2020-12-01,SUSD,22,127196620.0,1
2020-12-01,TUSD,7,272430516.0,1
2020-12-01,USDC,2,3706429865.0,6
2020-12-01,USDK,27,32478711.0,1
2020-12-01,USDN,12,95295862.0,1
2020-12-01,USDP,11,302151475.0,1
2020-12-01,USDP,33,162555.0,2
2020-12-01,USDT,1,20037511916.0,8
2020-12-01,USTC,3,37992525.0,2
2020-12-01,VAI,28,19980432.0,1
2020-12-01,ZUSD,43,201.0,1
2021-01-01,BUSD,4,1478559055.0,3
2021-01-01,DAI,5,1634892607.0,6
2021-01-01,FLEXUSD,21,30935.0,1
2021-01-01,FRAX,6,84973839.0,1
2021-01-01,FUSD,63,9541247.0,1
2021-01-01,GUSD,19,79269195.0,1
2021-01-01,MUSD,26,37874941.0,1
2021-01-01,OUSD,23,7478458.0,1
2021-01-01,RSV,25,1573788.0,1
2021-01-01,SUSD,22,168579115.0,1
2021-01-01,TUSD,7,399622989.0,1
2021-01-01,USDC,2,5850991943.0,7
2021-01-01,USDK,27,32478711.0,1
2021-01-01,USDN,12,89209837.0,1
2021-01-01,USDP,11,651665153.0,1
2021-01-01,USDP,33,869084.0,2
2021-01-01,USDT,1,25812442493.0,9
2021-01-01,USTC,3,75390518.0,2
