volume_usd,symbol,date,post_nov_2022
242586528,USDC,2020-01-01,0
318268134,USDC,2020-01-02,0
374792167,USDC,2020-01-03,0
334494308,USDC,2020-01-04,0
334597544,USDC,2020-01-05,0
383494516,USDC,2020-01-06,0
400308774,USDC,2020-01-07,0
410892668,USDC,2020-01-08,0
307584171,USDC,2020-01-09,0
350097573,USDC,2020-01-10,0
287180029,USDC,2020-01-11,0
330297498,USDC,2020-01-12,0
343177235,USDC,2020-01-13,0
469120389,USDC,2020-01-14,0
493412531,USDC,2020-01-15,0
430662074,USDC,2020-01-16,0
479116540,USDC,2020-01-17,0
413666367,USDC,2020-01-18,0
423373607,USDC,2020-01-19,0
343768616,USDC,2020-01-20,0
311559856,USDC,2020-01-21,0
309750921,USDC,2020-01-22,0
320079261,USDC,2020-01-23,0
315274054,USDC,2020-01-24,0
265326087,USDC,2020-01-25,0
292385181,USDC,2020-01-26,0
393996733,USDC,2020-01-27,0
502474594,USDC,2020-01-28,0
381758732,USDC,2020-01-29,0
316332808,USDC,2020-01-30,0
361818896,USDC,2020-01-31,0
313660538,USDC,2020-02-01,0
384098792,USDC,2020-02-02,0
387993602,USDC,2020-02-03,0
382499609,USDC,2020-02-04,0
468527693,USDC,2020-02-05,0
501097854,USDC,2020-02-06,0
676480629,USDC,2020-02-07,0
620221599,USDC,2020-02-08,0
659695137,USDC,2020-02-09,0
733552993,USDC,2020-02-10,0
845894777,USDC,2020-02-11,0
555559141,USDC,2020-02-12,0
850741759,USDC,2020-02-13,0
928033207,USDC,2020-02-14,0
848189242,USDC,2020-02-15,0
926497189,USDC,2020-02-16,0
983888760,USDC,2020-02-17,0
739770635,USDC,2020-02-18,0
857550747,USDC,2020-02-19,0
977934310,USDC,2020-02-20,0
1007474893,USDC,2020-02-21,0
945408542,USDC,2020-02-22,0
1033736189,USDC,2020-02-23,0
1114860352,USDC,2020-02-24,0
1047807481,USDC,2020-02-25,0
1160696128,USDC,2020-02-26,0
1097362414,USDC,2020-02-27,0
1039692084,USDC,2020-02-28,0
938837732,USDC,2020-02-29,0
897676018,USDC,2020-03-01,0
938905914,USDC,2020-03-02,0
1012370159,USDC,2020-03-03,0
786351195,USDC,2020-03-04,0
765829131,USDC,2020-03-05,0
1401149802,USDC,2020-03-06,0
1239893192,USDC,2020-03-07,0
1430098332,USDC,2020-03-08,0
1320662037,USDC,2020-03-09,0
1545918026,USDC,2020-03-10,0
1295474005,USDC,2020-03-11,0
1605204520,USDC,2020-03-12,0
847303035,USDC,2020-03-13,0
574424825,USDC,2020-03-14,0
712798810,USDC,2020-03-15,0
700699447,USDC,2020-03-16,0
561066412,USDC,2020-03-17,0
649533429,USDC,2020-03-18,0
1067530248,USDC,2020-03-19,0
961675019,USDC,2020-03-20,0
1073258927,USDC,2020-03-21,0
687125480,USDC,2020-03-22,0
687375222,USDC,2020-03-23,0
743619081,USDC,2020-03-24,0
734599583,USDC,2020-03-25,0
829443692,USDC,2020-03-26,0
956026571,USDC,2020-03-27,0
821108456,USDC,2020-03-28,0
641642083,USDC,2020-03-29,0
947341484,USDC,2020-03-30,0
757273271,USDC,2020-03-31,0
874513925,USDC,2020-04-01,0
1119590861,USDC,2020-04-02,0
802031808,USDC,2020-04-03,0
733529363,USDC,2020-04-04,0
718937342,USDC,2020-04-05,0
870767266,USDC,2020-04-06,0
895902327,USDC,2020-04-07,0
775527778,USDC,2020-04-08,0
767509663,USDC,2020-04-09,0
847956955,USDC,2020-04-10,0
665074561,USDC,2020-04-11,0
805969792,USDC,2020-04-12,0
721095996,USDC,2020-04-13,0
723478384,USDC,2020-04-14,0
834202006,USDC,2020-04-15,0
1055234948,USDC,2020-04-16,0
789114157,USDC,2020-04-17,0
850643276,USDC,2020-04-18,0
894054504,USDC,2020-04-19,0
645616338,USDC,2020-04-20,0
512937610,USDC,2020-04-21,0
416817326,USDC,2020-04-22,0
469598546,USDC,2020-04-23,0
435965644,USDC,2020-04-24,0
379571252,USDC,2020-04-25,0
419876552,USDC,2020-04-26,0
425919491,USDC,2020-04-27,0
358936206,USDC,2020-04-28,0
617721870,USDC,2020-04-29,0
588729708,USDC,2020-04-30,0
483918719,USDC,2020-05-01,0
527930176,USDC,2020-05-02,0
538532397,USDC,2020-05-03,0
546869282,USDC,2020-05-04,0
568954079,USDC,2020-05-05,0
570788155,USDC,2020-05-06,0
569477470,USDC,2020-05-07,0
573933002,USDC,2020-05-08,0
527392293,USDC,2020-05-09,0
628815173,USDC,2020-05-10,0
560486656,USDC,2020-05-11,0
418915209,USDC,2020-05-12,0
442974311,USDC,2020-05-13,0
589452910,USDC,2020-05-14,0
733477055,USDC,2020-05-15,0
590472282,USDC,2020-05-16,0
623833304,USDC,2020-05-17,0
556502433,USDC,2020-05-18,0
645252420,USDC,2020-05-19,0
654997591,USDC,2020-05-20,0
639942387,USDC,2020-05-21,0
479674913,USDC,2020-05-22,0
418061541,USDC,2020-05-23,0
420645623,USDC,2020-05-24,0
427366175,USDC,2020-05-25,0
386722721,USDC,2020-05-26,0
447623269,USDC,2020-05-27,0
477608688,USDC,2020-05-28,0
445311776,USDC,2020-05-29,0
478039732,USDC,2020-05-30,0
437098476,USDC,2020-05-31,0
511987831,USDC,2020-06-01,0
517602290,USDC,2020-06-02,0
370385643,USDC,2020-06-03,0
292616628,USDC,2020-06-04,0
267403161,USDC,2020-06-05,0
249661876,USDC,2020-06-06,0
278942203,USDC,2020-06-07,0
258124392,USDC,2020-06-08,0
275906690,USDC,2020-06-09,0
286430600,USDC,2020-06-10,0
361418859,USDC,2020-06-11,0
269662003,USDC,2020-06-12,0
244922456,USDC,2020-06-13,0
261665467,USDC,2020-06-14,0
329241566,USDC,2020-06-15,0
305768693,USDC,2020-06-16,0
296663411,USDC,2020-06-17,0
265869062,USDC,2020-06-18,0
286431524,USDC,2020-06-19,0
264040919,USDC,2020-06-20,0
264643094,USDC,2020-06-21,0
312776437,USDC,2020-06-22,0
275629670,USDC,2020-06-23,0
317475211,USDC,2020-06-24,0
280081178,USDC,2020-06-25,0
270824709,USDC,2020-06-26,0
262437538,USDC,2020-06-27,0
227229690,USDC,2020-06-28,0
240627594,USDC,2020-06-29,0
230378726,USDC,2020-06-30,0
277293073,USDC,2020-07-01,0
268646941,USDC,2020-07-02,0
250629643,USDC,2020-07-03,0
230791965,USDC,2020-07-04,0
229374669,USDC,2020-07-05,0
262308134,USDC,2020-07-06,0
251459273,USDC,2020-07-07,0
338710426,USDC,2020-07-08,0
262565337,USDC,2020-07-09,0
268662387,USDC,2020-07-10,0
228429648,USDC,2020-07-11,0
247223175,USDC,2020-07-12,0
284329507,USDC,2020-07-13,0
272931352,USDC,2020-07-14,0
257140387,USDC,2020-07-15,0
278630288,USDC,2020-07-16,0
248319472,USDC,2020-07-17,0
237728742,USDC,2020-07-18,0
239654085,USDC,2020-07-19,0
241979767,USDC,2020-07-20,0
268162461,USDC,2020-07-21,0
275630027,USDC,2020-07-22,0
295608573,USDC,2020-07-23,0
273580676,USDC,2020-07-24,0
280171826,USDC,2020-07-25,0
352834293,USDC,2020-07-26,0
470335314,USDC,2020-07-27,0
377869121,USDC,2020-07-28,0
344833565,USDC,2020-07-29,0
332715300,USDC,2020-07-30,0
352387844,USDC,2020-07-31,0
428788849,USDC,2020-08-01,0
481496070,USDC,2020-08-02,0
370719446,USDC,2020-08-03,0
344445344,USDC,2020-08-04,0
351757028,USDC,2020-08-05,0
338670829,USDC,2020-08-06,0
362226389,USDC,2020-08-07,0
334134858,USDC,2020-08-08,0
326988690,USDC,2020-08-09,0
405468663,USDC,2020-08-10,0
421389774,USDC,2020-08-11,0
402384827,USDC,2020-08-12,0
453460226,USDC,2020-08-13,0
404192611,USDC,2020-08-14,0
363887509,USDC,2020-08-15,0
378056620,USDC,2020-08-16,0
436462695,USDC,2020-08-17,0
415507652,USDC,2020-08-18,0
407521488,USDC,2020-08-19,0
351261530,USDC,2020-08-20,0
402846713,USDC,2020-08-21,0
336278907,USDC,2020-08-22,0
299959710,USDC,2020-08-23,0
315086650,USDC,2020-08-24,0
336440006,USDC,2020-08-25,0
307466693,USDC,2020-08-26,0
319885737,USDC,2020-08-27,0
330211751,USDC,2020-08-28,0
321728690,USDC,2020-08-29,0
384070993,USDC,2020-08-30,0
388657503,USDC,2020-08-31,0
478155175,USDC,2020-09-01,0
545699500,USDC,2020-09-02,0
569632814,USDC,2020-09-03,0
549725309,USDC,2020-09-04,0
591701985,USDC,2020-09-05,0
447289979,USDC,2020-09-06,0
