volume_usd,symbol,date,post_nov_2022
21503143454,USDT,2020-01-01,0
24212314977,USDT,2020-01-02,0
32420287856,USDT,2020-01-03,0
21585629320,USDT,2020-01-04,0
24090142146,USDT,2020-01-05,0
29460474864,USDT,2020-01-06,0
32765511976,USDT,2020-01-07,0
35175740304,USDT,2020-01-08,0
28026673217,USDT,2020-01-09,0
34207037022,USDT,2020-01-10,0
31049760361,USDT,2020-01-11,0
27250055613,USDT,2020-01-12,0
26468468000,USDT,2020-01-13,0
57687160761,USDT,2020-01-14,0
49045902728,USDT,2020-01-15,0
40752742739,USDT,2020-01-16,0
47263851458,USDT,2020-01-17,0
43805026250,USDT,2020-01-18,0
42680566067,USDT,2020-01-19,0
33079894466,USDT,2020-01-20,0
31080893275,USDT,2020-01-21,0
29749248330,USDT,2020-01-22,0
33631459310,USDT,2020-01-23,0
33356108238,USDT,2020-01-24,0
26340299495,USDT,2020-01-25,0
29121614731,USDT,2020-01-26,0
37771545362,USDT,2020-01-27,0
44123906993,USDT,2020-01-28,0
42323320108,USDT,2020-01-29,0
43624728074,USDT,2020-01-30,0
40496855325,USDT,2020-01-31,0
34763069931,USDT,2020-02-01,0
40560625161,USDT,2020-02-02,0
39849489336,USDT,2020-02-03,0
36950713371,USDT,2020-02-04,0
46504757742,USDT,2020-02-05,0
46549174003,USDT,2020-02-06,0
42966951015,USDT,2020-02-07,0
44251729422,USDT,2020-02-08,0
44977724508,USDT,2020-02-09,0
48784184264,USDT,2020-02-10,0
46001561028,USDT,2020-02-11,0
54829582150,USDT,2020-02-12,0
63588479574,USDT,2020-02-13,0
54698567058,USDT,2020-02-14,0
57250318373,USDT,2020-02-15,0
60160518246,USDT,2020-02-16,0
63038607545,USDT,2020-02-17,0
60616752516,USDT,2020-02-18,0
54920030584,USDT,2020-02-19,0
55986244963,USDT,2020-02-20,0
47618138884,USDT,2020-02-21,0
41243330013,USDT,2020-02-22,0
47448629411,USDT,2020-02-23,0
56599226979,USDT,2020-02-24,0
55034243501,USDT,2020-02-25,0
68910958735,USDT,2020-02-26,0
61401185853,USDT,2020-02-27,0
56902235264,USDT,2020-02-28,0
44948749121,USDT,2020-02-29,0
45828960109,USDT,2020-03-01,0
67439071909,USDT,2020-03-02,0
50681960308,USDT,2020-03-03,0
48605279710,USDT,2020-03-04,0
49920180590,USDT,2020-03-05,0
49389801062,USDT,2020-03-06,0
46199415513,USDT,2020-03-07,0
54758243672,USDT,2020-03-08,0
63879966769,USDT,2020-03-09,0
51217843378,USDT,2020-03-10,0
47108137900,USDT,2020-03-11,0
74550564419,USDT,2020-03-12,0
99315334323,USDT,2020-03-13,0
48327975513,USDT,2020-03-14,0
43945453268,USDT,2020-03-15,0
57318450774,USDT,2020-03-16,0
46775877399,USDT,2020-03-17,0
45836273197,USDT,2020-03-18,0
64076531532,USDT,2020-03-19,0
72319289643,USDT,2020-03-20,0
52643956420,USDT,2020-03-21,0
49036623749,USDT,2020-03-22,0
57333099378,USDT,2020-03-23,0
57714092130,USDT,2020-03-24,0
52254209223,USDT,2020-03-25,0
42020889460,USDT,2020-03-26,0
41534264141,USDT,2020-03-27,0
44315404128,USDT,2020-03-28,0
35069971228,USDT,2020-03-29,0
44148668942,USDT,2020-03-30,0
38970696054,USDT,2020-03-31,0
47949493852,USDT,2020-04-01,0
57261198792,USDT,2020-04-02,0
46738928486,USDT,2020-04-03,0
39644126975,USDT,2020-04-04,0
35625789596,USDT,2020-04-05,0
60908262080,USDT,2020-04-06,0
59032234493,USDT,2020-04-07,0
50475513637,USDT,2020-04-08,0
44302706107,USDT,2020-04-09,0
56393183976,USDT,2020-04-10,0
40060959110,USDT,2020-04-11,0
44856466500,USDT,2020-04-12,0
50128306911,USDT,2020-04-13,0
42246776207,USDT,2020-04-14,0
40321714369,USDT,2020-04-15,0
63213195169,USDT,2020-04-16,0
43011919954,USDT,2020-04-17,0
45234041690,USDT,2020-04-18,0
44414316787,USDT,2020-04-19,0
54458798119,USDT,2020-04-20,0
42681951159,USDT,2020-04-21,0
45471713945,USDT,2020-04-22,0
56696647551,USDT,2020-04-23,0
45214285339,USDT,2020-04-24,0
44807056872,USDT,2020-04-25,0
46243541830,USDT,2020-04-26,0
50062655667,USDT,2020-04-27,0
45898873538,USDT,2020-04-28,0
79272305845,USDT,2020-04-29,0
89936833210,USDT,2020-04-30,0
56216767268,USDT,2020-05-01,0
49997806582,USDT,2020-05-02,0
58963072938,USDT,2020-05-03,0
60315142637,USDT,2020-05-04,0
53776437547,USDT,2020-05-05,0
59321368204,USDT,2020-05-06,0
72554504815,USDT,2020-05-07,0
63400633378,USDT,2020-05-08,0
57870685210,USDT,2020-05-09,0
79545041693,USDT,2020-05-10,0
68664007367,USDT,2020-05-11,0
49750084616,USDT,2020-05-12,0
53063776325,USDT,2020-05-13,0
64544825214,USDT,2020-05-14,0
53148365727,USDT,2020-05-15,0
42259786355,USDT,2020-05-16,0
45525203695,USDT,2020-05-17,0
50496315260,USDT,2020-05-18,0
46955432504,USDT,2020-05-19,0
44447276085,USDT,2020-05-20,0
47340041421,USDT,2020-05-21,0
37971264880,USDT,2020-05-22,0
33726005349,USDT,2020-05-23,0
38944229194,USDT,2020-05-24,0
35985513624,USDT,2020-05-25,0
32858110128,USDT,2020-05-26,0
35192290092,USDT,2020-05-27,0
38116870951,USDT,2020-05-28,0
36706734857,USDT,2020-05-29,0
40377918880,USDT,2020-05-30,0
35009124470,USDT,2020-05-31,0
39619617695,USDT,2020-06-01,0
45585907575,USDT,2020-06-02,0
30557149519,USDT,2020-06-03,0
31617065491,USDT,2020-06-04,0
29614424319,USDT,2020-06-05,0
23548822467,USDT,2020-06-06,0
29418233806,USDT,2020-06-07,0
23773499797,USDT,2020-06-08,0
25504409744,USDT,2020-06-09,0
26529161098,USDT,2020-06-10,0
39277703093,USDT,2020-06-11,0
28748565604,USDT,2020-06-12,0
21716523327,USDT,2020-06-13,0
21206505066,USDT,2020-06-14,0
33118696637,USDT,2020-06-15,0
25217650481,USDT,2020-06-16,0
24323246034,USDT,2020-06-17,0
21264596740,USDT,2020-06-18,0
23397934727,USDT,2020-06-19,0
20222952960,USDT,2020-06-20,0
18590123868,USDT,2020-06-21,0
25901068733,USDT,2020-06-22,0
21481732223,USDT,2020-06-23,0
25367004473,USDT,2020-06-24,0
21617089198,USDT,2020-06-25,0
22595324560,USDT,2020-06-26,0
22069989504,USDT,2020-06-27,0
18015458533,USDT,2020-06-28,0
20201360245,USDT,2020-06-29,0
18926019120,USDT,2020-06-30,0
20410901924,USDT,2020-07-01,0
21713824216,USDT,2020-07-02,0
17207532375,USDT,2020-07-03,0
16834529314,USDT,2020-07-04,0
18453609716,USDT,2020-07-05,0
28513816011,USDT,2020-07-06,0
20262759503,USDT,2020-07-07,0
28520237097,USDT,2020-07-08,0
24559681375,USDT,2020-07-09,0
19416307998,USDT,2020-07-10,0
16806691103,USDT,2020-07-11,0
18560508406,USDT,2020-07-12,0
23293356124,USDT,2020-07-13,0
21927614040,USDT,2020-07-14,0
19801020732,USDT,2020-07-15,0
20174060342,USDT,2020-07-16,0
16824229378,USDT,2020-07-17,0
15430964635,USDT,2020-07-18,0
16068695380,USDT,2020-07-19,0
16920167824,USDT,2020-07-20,0
22047241258,USDT,2020-07-21,0
21007802308,USDT,2020-07-22,0
