date,asset,transfer_volume_usd,post_nov_2022,active_addresses,active_addresses_squared
2020-01-01,USDC,242586528,0,1481,2193361
2020-01-02,USDC,318268134,0,2302,5299204
2020-01-03,USDC,374792167,0,2561,6558721
2020-01-04,USDC,334494308,0,1824,3326976
2020-01-05,USDC,334597544,0,1924,3701776
2020-01-06,USDC,383494516,0,2761,7623121
2020-01-07,USDC,400308774,0,2930,8584900
2020-01-08,USDC,410892668,0,3327,11068929
2020-01-09,USDC,307584171,0,2878,8282884
2020-01-10,USDC,350097573,0,2896,8386816
2020-01-11,USDC,287180029,0,2337,5461569
2020-01-12,USDC,330297498,0,1819,3308761
2020-01-13,USDC,343177235,0,2295,5267025
2020-01-14,USDC,469120389,0,3939,15515721
2020-01-15,USDC,493412531,0,3941,15531481
2020-01-16,USDC,430662074,0,3397,11539609
2020-01-17,USDC,479116540,0,3770,14212900
2020-01-18,USDC,413666367,0,2503,6265009
2020-01-19,USDC,423373607,0,2516,6330256
2020-01-20,USDC,343768616,0,2371,5621641
2020-01-21,USDC,311559856,0,2884,8317456
2020-01-22,USDC,309750921,0,2799,7834401
2020-01-23,USDC,320079261,0,2970,8820900
2020-01-24,USDC,315274054,0,2741,7513081
2020-01-25,USDC,265326087,0,1995,3980025
2020-01-26,USDC,292385181,0,2053,4214809
2020-01-27,USDC,393996733,0,3139,9853321
2020-01-28,USDC,502474594,0,3273,10712529
2020-01-29,USDC,381758732,0,3403,11580409
2020-01-30,USDC,316332808,0,3922,15382084
2020-01-31,USDC,361818896,0,3220,10368400
2020-02-01,USDC,313660538,0,3829,14661241
2020-02-02,USDC,384098792,0,2595,6734025
2020-02-03,USDC,387993602,0,3127,9778129
2020-02-04,USDC,382499609,0,3870,14976900
2020-02-05,USDC,468527693,0,3995,15960025
2020-02-06,USDC,501097854,0,4142,17156164
2020-02-07,USDC,676480629,0,3824,14622976
2020-02-08,USDC,620221599,0,3267,10673289
2020-02-09,USDC,659695137,0,3156,9960336
2020-02-10,USDC,733552993,0,3573,12766329
2020-02-11,USDC,845894777,0,4219,17799961
2020-02-12,USDC,555559141,0,6428,41319184
2020-02-13,USDC,850741759,0,4375,19140625
2020-02-14,USDC,928033207,0,4286,18369796
2020-02-15,USDC,848189242,0,3570,12744900
2020-02-16,USDC,926497189,0,3418,11682724
2020-02-17,USDC,983888760,0,3629,13169641
2020-02-18,USDC,739770635,0,4162,17322244
2020-02-19,USDC,857550747,0,3981,15848361
2020-02-20,USDC,977934310,0,4034,16273156
2020-02-21,USDC,1007474893,0,3608,13017664
2020-02-22,USDC,945408542,0,2634,6937956
2020-02-23,USDC,1033736189,0,2525,6375625
2020-02-24,USDC,1114860352,0,3508,12306064
2020-02-25,USDC,1047807481,0,3930,15444900
2020-02-26,USDC,1160696128,0,5318,28281124
2020-02-27,USDC,1097362414,0,5199,27029601
2020-02-28,USDC,1039692084,0,4605,21206025
2020-02-29,USDC,938837732,0,2803,7856809
2020-03-01,USDC,897676018,0,3110,9672100
2020-03-02,USDC,938905914,0,4488,20142144
2020-03-03,USDC,1012370159,0,4711,22193521
2020-03-04,USDC,786351195,0,4027,16216729
2020-03-05,USDC,765829131,0,4645,21576025
2020-03-06,USDC,1401149802,0,4589,21058921
2020-03-07,USDC,1239893192,0,3333,11108889
2020-03-08,USDC,1430098332,0,3879,15046641
2020-03-09,USDC,1320662037,0,5471,29931841
2020-03-10,USDC,1545918026,0,4283,18344089
2020-03-11,USDC,1295474005,0,3902,15225604
2020-03-12,USDC,1605204520,0,8334,69455556
2020-03-13,USDC,847303035,0,10125,102515625
2020-03-14,USDC,574424825,0,4695,22043025
2020-03-15,USDC,712798810,0,4295,18447025
2020-03-16,USDC,700699447,0,6932,48052624
2020-03-17,USDC,561066412,0,7144,51036736
2020-03-18,USDC,649533429,0,6119,37442161
2020-03-19,USDC,1067530248,0,7260,52707600
2020-03-20,USDC,961675019,0,6615,43758225
2020-03-21,USDC,1073258927,0,4831,23338561
2020-03-22,USDC,687125480,0,3798,14424804
2020-03-23,USDC,687375222,0,5135,26368225
2020-03-24,USDC,743619081,0,5428,29463184
2020-03-25,USDC,734599583,0,4420,19536400
2020-03-26,USDC,829443692,0,5182,26853124
2020-03-27,USDC,956026571,0,5240,27457600
2020-03-28,USDC,821108456,0,4415,19492225
2020-03-29,USDC,641642083,0,3441,11840481
2020-03-30,USDC,947341484,0,4703,22118209
2020-03-31,USDC,757273271,0,4599,21150801
2020-04-01,USDC,874513925,0,5112,26132544
2020-04-02,USDC,1119590861,0,6053,36638809
2020-04-03,USDC,802031808,0,5386,29008996
2020-04-04,USDC,733529363,0,3962,15697444
2020-04-05,USDC,718937342,0,3662,13410244
2020-04-06,USDC,870767266,0,6026,36312676
2020-04-07,USDC,895902327,0,6886,47416996
2020-04-08,USDC,775527778,0,5327,28376929
2020-04-09,USDC,767509663,0,5317,28270489
2020-04-10,USDC,847956955,0,6524,42562576
2020-04-11,USDC,665074561,0,4080,16646400
2020-04-12,USDC,805969792,0,4016,16128256
2020-04-13,USDC,721095996,0,5147,26491609
2020-04-14,USDC,723478384,0,4956,24561936
2020-04-15,USDC,834202006,0,5314,28238596
2020-04-16,USDC,1055234948,0,6083,37002889
2020-04-17,USDC,789114157,0,5896,34762816
2020-04-18,USDC,850643276,0,4900,24010000
2020-04-19,USDC,894054504,0,4415,19492225
2020-04-20,USDC,645616338,0,5721,32729841
2020-04-21,USDC,512937610,0,5756,33131536
2020-04-22,USDC,416817326,0,5738,32924644
2020-04-23,USDC,469598546,0,7026,49364676
2020-04-24,USDC,435965644,0,6327,40030929
2020-04-25,USDC,379571252,0,5458,29789764
2020-04-26,USDC,419876552,0,4783,22877089
2020-04-27,USDC,425919491,0,5709,32592681
2020-04-28,USDC,358936206,0,5925,35105625
2020-04-29,USDC,617721870,0,7885,62173225
2020-04-30,USDC,588729708,0,7476,55890576
2020-05-01,USDC,483918719,0,7233,52316289
2020-05-02,USDC,527930176,0,5450,29702500
2020-05-03,USDC,538532397,0,5171,26739241
2020-05-04,USDC,546869282,0,6541,42784681
2020-05-05,USDC,568954079,0,6080,36966400
2020-05-06,USDC,570788155,0,6764,45751696
2020-05-07,USDC,569477470,0,7320,53582400
2020-05-08,USDC,573933002,0,7726,59691076
2020-05-09,USDC,527392293,0,5688,32353344
2020-05-10,USDC,628815173,0,7714,59505796
2020-05-11,USDC,560486656,0,7493,56145049
2020-05-12,USDC,418915209,0,6962,48469444
2020-05-13,USDC,442974311,0,6934,48080356
2020-05-14,USDC,589452910,0,8508,72386064
2020-05-15,USDC,733477055,0,7214,52041796
2020-05-16,USDC,590472282,0,4537,20584369
2020-05-17,USDC,623833304,0,4369,19088161
2020-05-18,USDC,556502433,0,6677,44582329
2020-05-19,USDC,645252420,0,5454,29746116
2020-05-20,USDC,654997591,0,5756,33131536
2020-05-21,USDC,639942387,0,7176,51494976
2020-05-22,USDC,479674913,0,6746,45508516
2020-05-23,USDC,418061541,0,4545,20657025
2020-05-24,USDC,420645623,0,5095,25959025
2020-05-25,USDC,427366175,0,5164,26666896
2020-05-26,USDC,386722721,0,5277,27846729
2020-05-27,USDC,447623269,0,6234,38862756
2020-05-28,USDC,477608688,0,5778,33385284
2020-05-29,USDC,445311776,0,7335,53802225
2020-05-30,USDC,478039732,0,6278,39413284
2020-05-31,USDC,437098476,0,4776,22810176
2020-06-01,USDC,511987831,0,6774,45887076
2020-06-02,USDC,517602290,0,9778,95609284
2020-06-03,USDC,370385643,0,7189,51681721
2020-06-04,USDC,292616628,0,6424,41267776
2020-06-05,USDC,267403161,0,7157,51222649
2020-06-06,USDC,249661876,0,4455,19847025
2020-06-07,USDC,278942203,0,4403,19386409
2020-06-08,USDC,258124392,0,6280,39438400
2020-06-09,USDC,275906690,0,6003,36036009
2020-06-10,USDC,286430600,0,6214,38613796
2020-06-11,USDC,361418859,0,8491,72097081
2020-06-12,USDC,269662003,0,6876,47279376
2020-06-13,USDC,244922456,0,4608,21233664
2020-06-14,USDC,261665467,0,5373,28869129
2020-06-15,USDC,329241566,0,6767,45792289
2020-06-16,USDC,305768693,0,6719,45144961
2020-06-17,USDC,296663411,0,7300,53290000
2020-06-18,USDC,265869062,0,6914,47803396
2020-06-19,USDC,286431524,0,7961,63377521
2020-06-20,USDC,264040919,0,8304,68956416
2020-06-21,USDC,264643094,0,5768,33269824
2020-06-22,USDC,312776437,0,8801,77457601
2020-06-23,USDC,275629670,0,9767,95394289
2020-06-24,USDC,317475211,0,8275,68475625
2020-06-25,USDC,280081178,0,7651,58537801
2020-06-26,USDC,270824709,0,9159,83887281
2020-06-27,USDC,262437538,0,10565,111619225
2020-06-28,USDC,227229690,0,6182,38217124
2020-06-29,USDC,240627594,0,7543,56896849
2020-06-30,USDC,230378726,0,8495,72165025
2020-07-01,USDC,277293073,0,8266,68326756
2020-07-02,USDC,268646941,0,9537,90954369
2020-07-03,USDC,250629643,0,8489,72063121
2020-07-04,USDC,230791965,0,7417,55011889
2020-07-05,USDC,229374669,0,5587,31214569
2020-07-06,USDC,262308134,0,7741,59923081
2020-07-07,USDC,251459273,0,8580,73616400
2020-07-08,USDC,338710426,0,11571,133888041
2020-07-09,USDC,262565337,0,12532,157051024
2020-07-10,USDC,268662387,0,9322,86899684
2020-07-11,USDC,228429648,0,6588,43401744
2020-07-12,USDC,247223175,0,5955,35462025
2020-07-13,USDC,284329507,0,8156,66520336
2020-07-14,USDC,272931352,0,8752,76597504
2020-07-15,USDC,257140387,0,8737,76335169
2020-07-16,USDC,278630288,0,8719,76020961
2020-07-17,USDC,248319472,0,9041,81739681
2020-07-18,USDC,237728742,0,7121,50708641
2020-07-19,USDC,239654085,0,7132,50865424
2020-07-20,USDC,241979767,0,9418,88698724
2020-07-21,USDC,268162461,0,9326,86974276
2020-07-22,USDC,275630027,0,8321,69239041
2020-07-23,USDC,295608573,0,10305,106193025
2020-07-24,USDC,273580676,0,9562,91431844
2020-07-25,USDC,280171826,0,9125,83265625
2020-07-26,USDC,352834293,0,9488,90022144
2020-07-27,USDC,470335314,0,13637,185967769
2020-07-28,USDC,377869121,0,10699,114468601
2020-07-29,USDC,344833565,0,9941,98823481
2020-07-30,USDC,332715300,0,9627,92679129
2020-07-31,USDC,352387844,0,10256,105185536
2020-08-01,USDC,428788849,0,10069,101384761
2020-08-02,USDC,481496070,0,9325,86955625
2020-08-03,USDC,370719446,0,12242,149866564
2020-08-04,USDC,344445344,0,10612,112614544
2020-08-05,USDC,351757028,0,10904,118897216
2020-08-06,USDC,338670829,0,10115,102313225
2020-08-07,USDC,362226389,0,10724,115004176
2020-08-08,USDC,334134858,0,9374,87871876
2020-08-09,USDC,326988690,0,8190,67076100
2020-08-10,USDC,405468663,0,10695,114383025
