asset,date,active_addresses,transfer_count
USDC,2020-01-01,1481,2280
USDC,2020-01-02,2302,3221
USDC,2020-01-03,2561,4142
USDC,2020-01-04,1824,2646
USDC,2020-01-05,1924,3119
USDC,2020-01-06,2761,4537
USDC,2020-01-07,2930,5316
USDC,2020-01-08,3327,6108
USDC,2020-01-09,2878,4980
USDC,2020-01-10,2896,4556
USDC,2020-01-11,2337,3832
USDC,2020-01-12,1819,2799
USDC,2020-01-13,2295,3921
USDC,2020-01-14,3939,7817
USDC,2020-01-15,3941,7436
USDC,2020-01-16,3397,6180
USDC,2020-01-17,3770,7460
USDC,2020-01-18,2503,4918
USDC,2020-01-19,2516,5264
USDC,2020-01-20,2371,3839
USDC,2020-01-21,2884,4554
USDC,2020-01-22,2799,4478
USDC,2020-01-23,2970,5489
USDC,2020-01-24,2741,4847
USDC,2020-01-25,1995,3350
USDC,2020-01-26,2053,3453
USDC,2020-01-27,3139,5748
USDC,2020-01-28,3273,5704
USDC,2020-01-29,3403,5710
USDC,2020-01-30,3922,6852
USDC,2020-01-31,3220,5545
USDC,2020-02-01,3829,5724
USDC,2020-02-02,2595,4552
USDC,2020-02-03,3127,5489
USDC,2020-02-04,3870,6609
USDC,2020-02-05,3995,7509
USDC,2020-02-06,4142,7453
USDC,2020-02-07,3824,7168
USDC,2020-02-08,3267,6396
USDC,2020-02-09,3156,6036
USDC,2020-02-10,3573,7125
USDC,2020-02-11,4219,7998
USDC,2020-02-12,6428,12008
USDC,2020-02-13,4375,8941
USDC,2020-02-14,4286,8600
USDC,2020-02-15,3570,7550
USDC,2020-02-16,3418,7532
USDC,2020-02-17,3629,7772
USDC,2020-02-18,4162,8022
USDC,2020-02-19,3981,7569
USDC,2020-02-20,4034,8480
USDC,2020-02-21,3608,6944
USDC,2020-02-22,2634,4896
USDC,2020-02-23,2525,4832
USDC,2020-02-24,3508,6481
USDC,2020-02-25,3930,9025
USDC,2020-02-26,5318,12484
USDC,2020-02-27,5199,10941
USDC,2020-02-28,4605,9785
USDC,2020-02-29,2803,5895
USDC,2020-03-01,3110,7079
USDC,2020-03-02,4488,9219
USDC,2020-03-03,4711,8855
USDC,2020-03-04,4027,7722
USDC,2020-03-05,4645,8433
USDC,2020-03-06,4589,8498
USDC,2020-03-07,3333,6867
USDC,2020-03-08,3879,9049
USDC,2020-03-09,5471,14046
USDC,2020-03-10,4283,8685
USDC,2020-03-11,3902,9402
USDC,2020-03-12,8334,24588
USDC,2020-03-13,10125,30110
USDC,2020-03-14,4695,13351
USDC,2020-03-15,4295,15724
USDC,2020-03-16,6932,22401
USDC,2020-03-17,7144,17892
USDC,2020-03-18,6119,14262
USDC,2020-03-19,7260,17912
USDC,2020-03-20,6615,17737
USDC,2020-03-21,4831,10309
USDC,2020-03-22,3798,9674
USDC,2020-03-23,5135,11980
USDC,2020-03-24,5428,12765
USDC,2020-03-25,4420,9375
USDC,2020-03-26,5182,9688
USDC,2020-03-27,5240,10692
USDC,2020-03-28,4415,10668
USDC,2020-03-29,3441,7820
USDC,2020-03-30,4703,10666
USDC,2020-03-31,4599,10282
USDC,2020-04-01,5112,10335
USDC,2020-04-02,6053,12955
USDC,2020-04-03,5386,10915
USDC,2020-04-04,3962,7646
USDC,2020-04-05,3662,7425
USDC,2020-04-06,6026,14094
USDC,2020-04-07,6886,14890
USDC,2020-04-08,5327,11074
USDC,2020-04-09,5317,9655
USDC,2020-04-10,6524,13227
USDC,2020-04-11,4080,7755
USDC,2020-04-12,4016,7800
USDC,2020-04-13,5147,10085
USDC,2020-04-14,4956,8581
USDC,2020-04-15,5314,9740
USDC,2020-04-16,6083,12863
USDC,2020-04-17,5896,10290
USDC,2020-04-18,4900,9901
USDC,2020-04-19,4415,9587
USDC,2020-04-20,5721,12025
USDC,2020-04-21,5756,10442
USDC,2020-04-22,5738,11366
USDC,2020-04-23,7026,14045
USDC,2020-04-24,6327,11190
USDC,2020-04-25,5458,9939
USDC,2020-04-26,4783,8871
USDC,2020-04-27,5709,10569
USDC,2020-04-28,5925,10288
USDC,2020-04-29,7885,15015
USDC,2020-04-30,7476,14008
USDC,2020-05-01,7233,13184
USDC,2020-05-02,5450,9398
USDC,2020-05-03,5171,9955
USDC,2020-05-04,6541,12799
USDC,2020-05-05,6080,10300
USDC,2020-05-06,6764,11559
USDC,2020-05-07,7320,12757
USDC,2020-05-08,7726,13275
USDC,2020-05-09,5688,10191
USDC,2020-05-10,7714,14970
USDC,2020-05-11,7493,13520
USDC,2020-05-12,6962,11684
USDC,2020-05-13,6934,11992
USDC,2020-05-14,8508,13898
USDC,2020-05-15,7214,12152
USDC,2020-05-16,4537,7171
USDC,2020-05-17,4369,7475
USDC,2020-05-18,6677,11720
USDC,2020-05-19,5454,9402
USDC,2020-05-20,5756,9474
USDC,2020-05-21,7176,12741
USDC,2020-05-22,6746,10783
USDC,2020-05-23,4545,7574
USDC,2020-05-24,5095,9722
USDC,2020-05-25,5164,7904
USDC,2020-05-26,5277,8766
USDC,2020-05-27,6234,10304
USDC,2020-05-28,5778,8890
USDC,2020-05-29,7335,11236
USDC,2020-05-30,6278,10906
USDC,2020-05-31,4776,7565
USDC,2020-06-01,6774,10489
USDC,2020-06-02,9778,16724
USDC,2020-06-03,7189,10499
