country_iso3,country_name,year,adoption_percentile,rank,rank_note,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,baseline_year,remittances_received_pct_gdp,post_2022,is_forward_filled
AFG,Afghanistan,2020,0.0,,Among lowest,0.0,,,,105.0,46.0,60.0,,,,510.787063366811,5.60188791482224,9.65382184434304,2021.0,3.95329685319887,0,False
AFG,Afghanistan,2021,0.8766233766233766,20.0,,0.13,,,,,38.0,53.0,7.0,,,356.496214115892,5.13320340824963,9.65382184434304,2021.0,2.24403998810715,0,False
AFG,Afghanistan,2022,0.0,146.0,,,114.0,145.0,,,,,146.0,114.0,146.0,357.261152798144,13.7121023720065,9.65382184434304,2021.0,2.20731611347931,0,False
AFG,Afghanistan,2023,0.0519480519480519,147.0,,,128.0,149.0,,,,,125.0,127.0,149.0,413.757894705303,-4.64470870797775,9.65382184434304,2021.0,1.8656461200228,1,False
AFG,Afghanistan,2024,0.8,31.0,,,40.0,8.0,,,,,,56.0,46.0,,-6.60118564073726,9.65382184434304,2021.0,,1,False
AFG,Afghanistan,2025,0.0620155038759689,122.0,,,122.0,122.0,122.0,,,,,123.0,,,-6.60118564073726,9.65382184434304,2021.0,,1,True
AGO,Angola,2020,0.2285714285714285,109.0,,0.016,,,,124.0,102.0,119.0,109.0,,,1759.35619918264,22.271539247051,,,0.0136834575473168,0,False
AGO,Angola,2021,0.2467532467532467,117.0,,0.02,,,,,122.0,130.0,41.0,,,2303.90812662776,25.7542948841891,,,0.0158763470925451,0,False
AGO,Angola,2022,0.1999999999999999,117.0,,,109.0,121.0,,,,,116.0,109.0,106.0,3682.1131513698,21.3552901320822,,,0.0106739240124738,0,False
AGO,Angola,2023,0.3051948051948052,108.0,,,100.0,116.0,,,,,67.0,106.0,116.0,2916.13663284275,13.6441017767715,,,0.0112595136943061,1,False
AGO,Angola,2024,0.0799999999999999,139.0,,,114.0,149.0,,,,,,110.0,145.0,2665.87444776753,28.2404948915772,,,0.0505345581578213,1,False
AGO,Angola,2025,0.2170542635658915,102.0,,,89.0,115.0,93.0,,,,,80.0,,2665.87444776753,28.2404948915772,,,0.0505345581578213,1,True
ALB,Albania,2020,0.1642857142857142,118.0,,0.01,,,,88.0,121.0,120.0,128.0,,,6027.91350716348,1.62088661717004,46.069250627042,2024.0,9.61841800746962,0,False
ALB,Albania,2021,0.396103896103896,94.0,,0.03,,,,,103.0,83.0,71.0,,,7242.45513146613,2.04147163139545,46.069250627042,2024.0,9.52948598024897,0,False
ALB,Albania,2022,0.3448275862068966,96.0,,,105.0,86.0,,,,,49.0,105.0,76.0,7756.96188744253,6.7252027153006,46.069250627042,2024.0,9.17717025231113,0,False
ALB,Albania,2023,0.4545454545454546,85.0,,,106.0,58.0,,,,,98.0,110.0,58.0,9730.86921906893,4.75834555150039,46.069250627042,2024.0,8.66778018906039,1,False
ALB,Albania,2024,0.28,109.0,,,110.0,111.0,,,,,,117.0,100.0,11377.7757431099,2.21587375089999,46.069250627042,2024.0,8.40939322766939,1,False
ALB,Albania,2025,0.1472868217054264,111.0,,,111.0,113.0,113.0,,,,,103.0,,11377.7757431099,2.21587375089999,46.069250627042,2024.0,8.40939322766939,1,True
AND,Andorra,2024,0.2666666666666667,111.0,,,125.0,103.0,,,,,,133.0,79.0,49303.6491674336,,,,1.29549313910818,1,False
AND,Andorra,2025,0.0232558139534884,127.0,,,127.0,126.0,127.0,,,,,128.0,,49303.6491674336,,,,1.29549313910818,1,True
ARE,United Arab Emirates,2020,0.4642857142857143,76.0,,0.056,,,,65.0,101.0,95.0,61.0,,,37991.7492971665,-2.07940317940944,85.7421930087712,2021.0,,0,False
ARE,United Arab Emirates,2021,0.3571428571428571,100.0,,0.02,,,,,88.0,82.0,104.0,,,44118.5047192771,0.179935336174431,85.7421930087712,2021.0,,0,False
ARE,United Arab Emirates,2023,0.5,78.0,,,77.0,60.0,,,,,102.0,89.0,60.0,49850.6872175164,1.62670837213248,85.7421930087712,2021.0,0.359500450678101,1,False
ARE,United Arab Emirates,2024,0.6333333333333333,56.0,,,71.0,58.0,,,,,,75.0,49.0,50273.5060469837,1.66336510224894,85.7421930087712,2021.0,0.325377524202418,1,False
