date,hhi_full,hhi_top5,n_stablecoins,total_supply_usd,top_stablecoin,top_stablecoin_share
2020-01-01,6120.17,6120.17,5,3952167565.0,USDT,0.771181
2020-02-01,6311.42,6311.42,5,4183795238.0,USDT,0.784773
2020-03-01,6736.42,6736.42,5,6103645822.0,USDT,0.811571
2020-04-01,6940.21,7111.42,6,8131113396.0,USDT,0.827135
2020-05-01,7287.91,7481.59,6,9416346512.0,USDT,0.849229
2020-06-01,7161.39,7362.79,7,10448489439.0,USDT,0.840434
2020-07-01,6881.41,7098.52,7,11909277166.0,USDT,0.822969
2020-08-01,6729.47,6974.02,7,15204682216.0,USDT,0.813423
2020-09-01,5918.68,6149.14,7,19101815921.0,USDT,0.75545
2020-10-01,5849.15,6023.67,7,21041755143.0,USDT,0.749926
2020-11-01,6086.81,6277.01,7,23431003493.0,USDT,0.767689
2020-12-01,5816.38,6124.39,19,26794723327.0,USDT,0.747816
2021-01-01,5311.23,5623.09,20,36459506562.0,USDT,0.707976
2021-02-01,5058.14,5352.09,22,50060324049.0,USDT,0.68542
2021-03-01,4856.08,5167.3,22,61279729395.0,USDT,0.669234
2021-04-01,4263.51,4755.44,24,81937253826.0,USDT,0.621335
2021-05-01,4133.61,4509.09,25,100360805322.0,USDT,0.596951
2021-06-01,4052.27,4350.58,25,107589321048.0,USDT,0.584686
2021-07-01,3868.25,4146.35,26,111872832361.0,USDT,0.562281
2021-08-01,3896.3,4210.24,26,115615164421.0,USDT,0.569703
2021-09-01,3847.09,4186.48,31,123931872337.0,USDT,0.563655
2021-10-01,3644.57,3977.94,26,128729657204.0,USDT,0.542432
2021-11-01,3535.06,3930.8,27,141226474434.0,USDT,0.529825
2021-12-01,3459.94,3863.99,28,152378632434.0,USDT,0.520588
2022-01-01,3340.88,3721.67,33,154693886566.0,USDT,0.489988
2022-02-01,3291.74,3611.08,34,162618341359.0,USDT,0.478101
2022-03-01,3366.21,3694.07,35,162967264904.0,USDT,0.491518
2022-04-01,3419.89,3746.07,39,160219095978.0,USDT,0.501874
2022-05-01,2998.12,3299.28,42,169760618141.0,USDT,0.427338
2022-06-01,2943.0,3228.29,52,163939436474.0,USDT,0.405734
2022-07-01,3300.7,3576.89,54,152636337069.0,USDT,0.436491
2022-08-01,3286.27,3560.7,62,152575428956.0,USDT,0.442648
2022-09-01,3310.24,3541.65,62,149409267010.0,USDT,0.454802
2022-10-01,3365.13,3611.21,66,145626679102.0,USDT,0.475523
2022-11-01,3320.2,3547.94,71,141207390370.0,USDT,0.46225
2022-12-01,3501.86,3747.93,71,137694927992.0,USDT,0.481112
2023-01-01,3555.79,3827.17,72,136746175585.0,USDT,0.495767
2023-02-01,3824.75,4120.91,78,134749167591.0,USDT,0.52624
2023-03-01,4321.38,4648.84,82,131719908647.0,USDT,0.604732
2023-04-01,4529.1,4904.63,82,130080990069.0,USDT,0.627983
2023-05-01,4673.09,5080.67,87,129206134157.0,USDT,0.643574
2023-06-01,4738.8,5163.39,91,128015080726.0,USDT,0.651173
2023-07-01,4918.65,5301.12,95,125550747820.0,USDT,0.667424
2023-08-01,4838.96,5233.27,99,125149680251.0,USDT,0.661907
2023-09-01,4949.44,5346.62,103,123804953140.0,USDT,0.672229
2023-10-01,5045.98,5444.97,106,124240216769.0,USDT,0.680636
2023-11-01,5224.08,5673.06,111,128101448247.0,USDT,0.696763
2023-12-01,5306.87,5773.86,113,130364614203.0,USDT,0.703219
2024-01-01,5404.66,5852.77,120,135591838725.0,USDT,0.70926
2024-02-01,5342.73,5761.35,126,140327607898.0,USDT,0.7032
2024-03-01,5307.69,5700.76,134,150084888144.0,USDT,0.696001
2024-04-01,5212.24,5575.12,143,159950575170.0,USDT,0.691176
2024-05-01,5231.29,5672.11,153,160757110164.0,USDT,0.694051
2024-06-01,5254.84,5725.29,157,161885129075.0,USDT,0.696465
2024-07-01,5245.85,5731.64,161,164707750861.0,USDT,0.694758
2024-08-01,5207.64,5703.11,165,170876858750.0,USDT,0.691713
2024-09-01,5173.52,5696.58,170,173864095315.0,USDT,0.687843
2024-10-01,5206.43,5781.29,170,174053419404.0,USDT,0.692388
2024-11-01,5265.43,5782.02,176,195366641788.0,USDT,0.695638
2024-12-01,4931.56,5580.64,177,206232342685.0,USDT,0.668141
2025-01-01,4688.76,5274.38,187,218627674514.0,USDT,0.638973
2025-02-01,4603.61,5201.45,192,225569869570.0,USDT,0.630848
2025-03-01,4461.39,5144.95,200,234589097725.0,USDT,0.615397
2025-04-01,4462.11,5197.02,208,241468779453.0,USDT,0.615572
2025-05-01,4493.05,5263.12,215,246451533610.0,USDT,0.622413
2025-06-01,4537.79,5295.79,222,252057357654.0,USDT,0.627066
2025-07-01,4435.35,5171.5,232,264885955655.0,USDT,0.619574
2025-08-01,4203.32,4905.39,237,282462664493.0,USDT,0.59479
2025-09-01,4100.44,4889.45,244,296830018986.0,USDT,0.588191
2025-10-01,4199.33,5075.91,254,306757211295.0,USDT,0.597748
2025-11-01,4260.72,5149.83,260,306539293845.0,USDT,0.602137
2025-12-01,4312.16,5219.51,266,308351349464.0,USDT,0.607461
