asset,specification,window,n,beta,se,ci_low,ci_high,r2,dw,p_beta_equals_1,p_beta_equals_2,notes
USDC,levels OLS,full (2020–2025),2192,0.9820664417973067,0.028958451731935394,0.9253089193546719,1.0388239642399417,0.8740932929025758,0.03732826129014747,0.5357280915848371,1.1019419605284409e-270,"cointegrated, HAC(12)"
USDC,levels OLS ex-influentials,full,2028,1.0426283763031314,0.021252452387695908,1.0009743350400953,1.0842824175661676,0.931549520998974,0.0675354868696781,0.04487654955454015,0.0,164 Cook's D > 4/n removed
USDC,levels OLS,pre-FTX (to 2022-11-10),1045,0.9163864287810491,0.054580834757194815,0.8094099584108153,1.0233628991512829,0.6782410633201131,0.022866115029703635,0.1255417305549373,1.0304991842842069e-87,slope changed Chow p=0.003
USDC,levels OLS,post-FTX (from 2022-11-11),1147,1.0882228481975162,0.020303777854009632,1.0484281748535553,1.1280175215414772,0.9539196348598976,0.30419120913524283,1.3918402565500887e-05,0.0,slope changed Chow p=0.003
USDC,first-diff OLS,full (2020–2025),2191,0.7027982855054342,0.0632850354518109,0.5787618952595444,0.8268346757513241,0.4429861667478555,2.293933002262885,2.649941718163507e-06,2.2541617655917114e-93,robustness spec
USDT,levels OLS,full (2020–2025),2192,1.0144749435471747,0.007290393437976963,1.0001860349756126,1.0287638521187368,0.9866528545738052,0.2754187920908749,0.04709089210854905,0.0,"cointegrated, HAC(12)"
USDT,levels OLS ex-influentials,full,2090,1.0199868598975967,0.0049034803377848,1.0103762150366382,1.0295975047585553,0.9944024872302668,0.2864764271995299,4.580601419693997e-05,0.0,102 Cook's D > 4/n removed
USDT,levels OLS,pre-FTX (to 2022-11-10),1045,1.024856853773047,0.008512654365979954,1.0081723578028885,1.0415413497432053,0.9866149674788174,0.525892378888301,0.003500441813332871,0.0,slope stable Chow p=0.231
USDT,levels OLS,post-FTX (from 2022-11-11),1147,1.1006796877339708,0.06267929722017976,0.977830522606137,1.2235288528618047,0.754174945259832,0.10800790629026773,0.10821525417183463,1.0971069214279917e-46,slope stable Chow p=0.231
USDT,first-diff OLS,full (2020–2025),2191,0.9269196174869975,0.023030664830131324,0.8817803438799268,0.9720588910940682,0.8408110197181776,2.4252658308486295,0.0015078042256050546,0.0,robustness spec
