date,active_addresses,transfer_count,log_active_addresses,log_transfer_count,cooks_d,above_threshold
2022-01-16,21617,713598,9.981,13.478,0.0044,True
2021-09-26,20764,645059,9.941,13.377,0.0043,True
2022-01-09,23142,695614,10.049,13.453,0.0039,True
2021-11-28,25712,805305,10.155,13.599,0.0039,True
2021-11-22,29984,961345,10.308,13.776,0.0037,True
2021-12-25,24379,686921,10.101,13.44,0.0036,True
2021-11-07,31861,1010674,10.369,13.826,0.0035,True
2021-12-26,26292,749025,10.177,13.527,0.0035,True
2021-11-13,27243,788401,10.213,13.578,0.0035,True
2021-11-17,33783,1090510,10.428,13.902,0.0035,True
