spec,window,dv,n,beta,se,ci_low,ci_high,p_value,hac_lags,notes
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_200_eth,72,-6.529887232636878,4.213102325672311,-14.78741605413655,1.7276415888627925,0.12116552319269658,4,flat fee $0.00 (headline)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_10000_eth,72,404.7431237727652,12.636398441256212,379.976237933605,429.51000961192545,4.176951663001303e-225,4,flat fee $0.00 (headline)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_200_tron,72,8.258646716963856,0.25039057552541494,7.767890206865786,8.749403227061926,1.4212161919904515e-238,4,flat fee $0.00 (headline)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_10000_tron,72,419.5316577223659,12.106009901003084,395.8043143199145,443.25900112481725,3.7786366396347025e-263,4,flat fee $0.00 (headline)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_200_eth,72,-3.0298872326368804,4.213102325672311,-11.287416054136552,5.22764158886279,0.4720434293838457,4,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_10000_eth,72,408.2431237727653,12.636398441256214,383.47623793360503,433.0100096119255,5.592304893595599e-229,4,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_200_tron,72,11.758646716963854,0.250390575525415,11.267890206865784,12.249403227061924,0.0,4,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",full (2020-01 to 2025-12),diff_10000_tron,72,423.0316577223661,12.106009901003084,399.30431431991474,446.7590011248175,1.6007457087550812e-267,4,flat fee $3.50 (sensitivity)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_200_eth,21,0.8608697007715257,2.769151541988106,-4.566567589258717,6.288306990801768,0.7558929833471499,2,flat fee $0.00 (headline)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_10000_eth,21,377.9674401787149,2.7691515419881054,372.5400028886847,383.39487746874516,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_200_tron,21,7.672459040064755,0.006634517795533848,7.659455624130719,7.685462455998791,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_10000_tron,21,384.77902951800814,0.006634517795533499,384.76602610207414,384.79203293394215,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_200_eth,21,4.360869700771524,2.769151541988106,-1.0665675892587192,9.788306990801766,0.11530179492611696,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_10000_eth,21,381.46744017871487,2.7691515419881054,376.0400028886846,386.8948774687451,0.0,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_200_tron,21,11.172459040064751,0.006634517795533864,11.159455624130715,11.185462455998788,0.0,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC","post-Dencun (Apr 2024 onwards, D-20)",diff_10000_tron,21,388.2790295180082,0.006634517795533907,388.2660261020742,388.2920329339422,0.0,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_200_eth,22,-0.6834615775725652,3.0986303137370204,-6.756665393901174,5.389742238756043,0.8254280942868975,2,flat fee $0.00 (headline)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_10000_eth,22,376.42310890037083,3.0986303137370217,370.34990508404223,382.49631271669944,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_200_tron,22,7.671383609481598,0.006443767072276059,7.658754058095172,7.684013160868024,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_10000_tron,22,384.7779540874249,0.006443767072275992,384.76532453603846,384.79058363881137,0.0,2,flat fee $0.00 (headline)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_200_eth,22,2.816538422427434,3.0986303137370204,-3.2566653939011747,8.889742238756043,0.36336997766453716,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_10000_eth,22,379.92310890037095,3.098630313737019,373.84990508404235,385.99631271669955,0.0,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_200_tron,22,11.1713836094816,0.006443767072276106,11.158754058095173,11.184013160868027,0.0,2,flat fee $3.50 (sensitivity)
"OLS on constant, HAC",post-Dencun robustness (Mar 2024 onwards),diff_10000_tron,22,388.27795408742514,0.006443767072276323,388.2653245360387,388.2905836388116,0.0,2,flat fee $3.50 (sensitivity)
